dataset,model,cal_size,test_size,Platt-logits_brier,Platt-logits_logloss,Platt-logits_kuiper,Platt-logits_ece-15,Platt-logits_accuracy,Platt-logits_time
c10,densenet40,5000,10000,0.01697000325200875,0.02963222339533378,0.0019733314402401447,0.0030926084145903587,0.9889000058174133,0.009696078021079302
c10,lenet5,5000,10000,0.07186949641896068,0.1241604345825207,0.002641228958964348,0.005442677531391382,0.9521999955177307,0.005426967050880194
c10,resnet_wide32,5000,10000,0.012437691826262367,0.028188610695508765,0.002137974603101611,0.004012709483504295,0.9923999905586243,0.005580746103078127
c10,resnet110,5000,10000,0.01615520655980646,0.03933773140712802,0.001615854911506176,0.0028483669739216566,0.9905999898910522,0.0061945379711687565
c10,resnet110_SD,5000,10000,0.01270226138718306,0.023162334641266172,0.0013432134874165058,0.0026803615037351847,0.9919000267982483,0.006888885982334614
breast,beit,78,156,0.28991153355083743,0.5523290542848364,0.0647554099559784,0.07606825232505798,0.7948718070983887,0.0026244199834764004
breast,convnext,78,156,0.17845436403402892,0.5179999773203955,0.023749854415655136,0.06675423681735992,0.8782051205635071,0.0031387200579047203
breast,resnet50,78,156,0.17730755833808595,0.4588488419688267,0.058640122413635254,0.08639460057020187,0.8846153616905212,0.0026829249691218138
breast,vit,78,156,0.2683500895923989,0.4266936836811705,0.024885863065719604,0.08881201595067978,0.8205128312110901,0.0024697890039533377
pneumonia,beit,524,624,0.2364936358645742,0.605948139184994,0.1340276598930359,0.14117559790611267,0.8381410241127014,0.003111917059868574
pneumonia,convnext,524,624,0.1501330575731439,0.6747510488340694,0.09365493059158325,0.0936548262834549,0.9022436141967773,0.0030959630385041237
pneumonia,resnet50,524,624,0.14032766392359158,0.7362996854963558,0.08628636598587036,0.08730940520763397,0.9118589758872986,0.0033440690021961927
pneumonia,vit,524,624,0.22913262079822333,0.5338472357211521,0.11692225933074951,0.11811169236898422,0.8493589758872986,0.003266340121626854
