dataset,model,cal_size,test_size,n_classes,BBQ_brier,BBQ_logloss,BBQ_ece-15,BBQ_accuracy,BBQ_time
c10,densenet40,5000,10000,10,0.12890744878568414,0.3666171043778093,0.016884736716747284,0.9236999750137329,1.6860787740442902
c10,lenet5,5000,10000,10,0.3668646971202715,0.853368762639126,0.026823492720723152,0.7421000003814697,1.894244598923251
c10,resnet_wide32,5000,10000,10,0.10620502047285504,0.31252778880639487,0.006491320673376322,0.9397000074386597,1.6803041570819914
c10,resnet110,5000,10000,10,0.11181065822165859,0.3269401322683879,0.009930656291544437,0.935699999332428,1.6603815420530736
c10,resnet110_SD,5000,10000,10,0.09765571790892907,0.28014014807175003,0.010036945343017578,0.9401000142097473,1.6480669500306249
c100,densenet40,5000,10000,100,0.47461762580887296,1.8208817440495462,0.07563377171754837,0.7017999887466431,16.447426331928
c100,lenet5,5000,10000,100,0.8245139761667839,3.4186781956850836,0.050237759947776794,0.3296999931335449,16.851042747031897
c100,resnet_wide32,5000,10000,100,0.4287060741422888,1.6985131077083868,0.06140508875250816,0.7382000088691711,16.367779602995142
c100,resnet110,5000,10000,100,0.4547773538109058,1.7526567471999381,0.0805421695113182,0.7129999995231628,16.492373689077795
c100,resnet110_SD,5000,10000,100,0.4231269444897821,1.6349097217641628,0.07485881447792053,0.7303000092506409,16.362629059003666
birds,resnet50,2897,2897,200,0.4207206554331816,2.6727720359344547,0.102484792470932,0.7152226567268372,19.85200117621571
SVHN,resnet152_SD,6000,26032,10,0.03200176249155469,0.10780826809110979,0.008708460256457329,0.9812154173851013,1.9544273710343987
derma,beit,1003,2005,7,0.3823114106145606,0.8550192838272421,0.0927964597940445,0.7506234645843506,0.34090005001053214
derma,convnext,1003,2005,7,0.20588204730863585,0.5005106773537457,0.013440560549497604,0.8847880363464355,0.3349159068893641
derma,resnet50,1003,2005,7,0.20692315443147602,0.4931695382511804,0.023690691217780113,0.8807979822158813,0.3406463039573282
derma,vit,1003,2005,7,0.4239973577278256,0.9261484914374907,0.08517317473888397,0.7216957807540894,0.3378593639936298
oct,beit,10832,1000,4,0.4509419229940185,0.9789161489766193,0.19228555262088776,0.7279999852180481,1.4946411249693483
oct,convnext,10832,1000,4,0.18487569538052032,0.4389637839336883,0.07692477852106094,0.8809999823570251,1.4888277819845825
oct,resnet50,10832,1000,4,0.2153005598593387,0.5416875462870135,0.09330299496650696,0.8740000128746033,1.4360924728680402
oct,vit,10832,1000,4,0.5182681317883893,1.1079290089733782,0.20644903182983398,0.6970000267028809,1.4404047580901533
