dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
c10,densenet40,5000,10000,10,0.11644638004654244,0.24991181904159007,0.02170064114034176,0.923799991607666,7.052537061972544
c10,lenet5,5000,10000,10,0.35558906310146415,0.7695947606400515,0.01764977164566517,0.7475000023841858,8.42292137700133
c10,resnet_wide32,5000,10000,10,0.09300456882841775,0.2007785293169799,0.011375689879059792,0.9398999810218811,6.7214338588528335
c10,resnet110,5000,10000,10,0.10117964391806643,0.2178444330521607,0.01422856468707323,0.9332000017166138,8.69399409997277
c10,resnet110_SD,5000,10000,10,0.09167759939826413,0.19373931612177578,0.012485763058066368,0.9398999810218811,8.314279544865713
c100,densenet40,5000,10000,100,0.42126115613138315,1.1990218219396365,0.028567161411046982,0.701200008392334,1562.435319801094
c100,lenet5,5000,10000,100,0.7852811169298964,2.6283515804860285,0.018315695226192474,0.35350000858306885,1189.3250900630374
c100,resnet_wide32,5000,10000,100,0.3733559917481694,1.0895223604732702,0.03610660135746002,0.7409999966621399,1506.6018967519049
c100,resnet110,5000,10000,100,0.4132950797360296,1.2148974364300018,0.031943969428539276,0.7125999927520752,1533.0379659719765
c100,resnet110_SD,5000,10000,100,0.3805297715359708,1.0784725925820453,0.0374094694852829,0.7329000234603882,1556.6471712710336
birds,resnet50,2897,2897,200,0.5072032018160181,1.4931250072222975,0.2687939405441284,0.7052122950553894,4429.5015588710085
SVHN,resnet152_SD,6000,26032,10,0.030536275934378153,0.08359564640793603,0.005089290905743837,0.9807544350624084,6.880001781973988
derma,beit,1003,2005,7,0.35745942005619147,0.746013253560019,0.026254644617438316,0.7431421279907227,1.3494123620912433
derma,convnext,1003,2005,7,0.16821600679452722,0.3557961009943476,0.02540772035717964,0.885286808013916,1.6031123269349337
derma,resnet50,1003,2005,7,0.18562461075827524,0.3824023927495146,0.025880970060825348,0.8738154768943787,2.1622298120055348
derma,vit,1003,2005,7,0.3789135159113867,0.785202522994333,0.043838020414114,0.7306733131408691,1.4086680940818042
oct,beit,10832,1000,4,0.35845831891391583,0.6894203788509021,0.13638195395469666,0.753000020980835,3.018195804907009
oct,convnext,10832,1000,4,0.17609769597291094,0.35126816685575557,0.05795992910861969,0.8809999823570251,3.021409397944808
oct,resnet50,10832,1000,4,0.19592797862765962,0.40658165796274054,0.0680699273943901,0.8759999871253967,3.786592218093574
oct,vit,10832,1000,4,0.4222867294224302,0.8099797682416421,0.13921770453453064,0.722000002861023,3.6913818339817226
