dataset,model,cal_size,test_size,n_classes,Dirichlet_brier,Dirichlet_logloss,Dirichlet_ece-15,Dirichlet_accuracy,Dirichlet_time
c10,densenet40,5000,10000,10,0.11117969342542647,0.2240631075048841,0.012097761034965515,0.9243000149726868,14.6053500729613
c10,lenet5,5000,10000,10,0.35192598277469295,0.7469266053426245,0.011570055037736893,0.7468000054359436,6.903822775930166
c10,resnet_wide32,5000,10000,10,0.09283173606536164,0.18996251791400917,0.01062498614192009,0.9391000270843506,8.860114237992093
c10,resnet110,5000,10000,10,0.10064777025483843,0.20934740447765457,0.01403890922665596,0.9325000047683716,6.026549856876954
c10,resnet110_SD,5000,10000,10,0.08898003161779845,0.18389766589734213,0.008960196748375893,0.9394000172615051,4.7968687559477985
c100,densenet40,5000,10000,100,0.6611345121228365,3.0935283228181074,0.2835981547832489,0.60589998960495,356.00312842591666
c100,lenet5,5000,10000,100,0.8373408164894647,2.9493127293086467,0.1505657583475113,0.3257000148296356,107.7242901630234
c100,resnet_wide32,5000,10000,100,0.5401951138754224,2.3413599638731064,0.22472964227199554,0.6675000190734863,668.0696061449125
c100,resnet110,5000,10000,100,0.5529128770481111,2.0941476088718924,0.20770947635173798,0.6402999758720398,237.59754727897234
c100,resnet110_SD,5000,10000,100,0.6017164075341883,2.5546433465584117,0.2575151026248932,0.6320000290870667,533.771858532913
birds,resnet50,2897,2897,200,0.42324315382060246,1.612745006105506,0.13852058351039886,0.7210907936096191,730.7880410321523
SVHN,resnet152_SD,6000,26032,10,0.031071970657195132,0.08686416685481403,0.005751872435212135,0.9807544350624084,9.592226169072092
derma,beit,1003,2005,7,0.36046106192506683,0.7770996355155874,0.03245582431554794,0.7421446442604065,9.626281906152144
derma,convnext,1003,2005,7,0.16621963405307966,0.36354632489039634,0.013420602306723595,0.8872817754745483,1.4028755319304764
derma,resnet50,1003,2005,7,0.17898954881606058,0.3659651472335589,0.01709200255572796,0.8768079876899719,1.540942212101072
derma,vit,1003,2005,7,0.37411510626687655,0.7753466381801086,0.03454093635082245,0.7321695685386658,1.3301055510528386
oct,beit,10832,1000,4,0.35529389211261797,0.6758832242558408,0.13329289853572845,0.7570000290870667,9.967494165059179
oct,convnext,10832,1000,4,0.1727709688537638,0.34541079272610237,0.04500069469213486,0.8960000276565552,1.0419045011512935
oct,resnet50,10832,1000,4,0.18809785422218084,0.3874416374856499,0.06624002009630203,0.878000020980835,1.2747472189366817
oct,vit,10832,1000,4,0.43431899942536106,0.8349367250482185,0.14147543907165527,0.7120000123977661,1.7526091260369867
