dataset,model,cal_size,test_size,n_classes,TS_brier,TS_logloss,TS_ece-15,TS_accuracy,TS_time
c10,densenet40,5000,10000,10,0.10997487604618073,0.22508591413497925,0.009467674419283867,0.9241999983787537,0.054314469918608665
c10,lenet5,5000,10000,10,0.3747604787349701,0.8003112077713013,0.01665325276553631,0.727400004863739,0.04053493100218475
c10,resnet_wide32,5000,10000,10,0.09237325936555862,0.19148239493370056,0.007841610349714756,0.939300000667572,0.04062164295464754
c10,resnet110,5000,10000,10,0.09785229712724686,0.20926125347614288,0.011322797276079655,0.9355999827384949,0.04057726915925741
c10,resnet110_SD,5000,10000,10,0.08737147599458694,0.17760488390922546,0.005559754557907581,0.9404000043869019,0.04038923094049096
c100,densenet40,5000,10000,100,0.4008878171443939,1.0571315288543701,0.009020216763019562,0.699999988079071,0.11362265585921705
c100,lenet5,5000,10000,100,0.7924630641937256,2.6497914791107178,0.014989297837018967,0.3359000086784363,0.04839733010157943
c100,resnet_wide32,5000,10000,100,0.3547716736793518,0.9445256590843201,0.014721609652042389,0.7382000088691711,0.04728510486893356
c100,resnet110,5000,10000,100,0.3918597400188446,1.0916913747787476,0.02379683218896389,0.7148000001907349,0.04695346811786294
c100,resnet110_SD,5000,10000,100,0.3668641149997711,0.9421415328979492,0.012139475904405117,0.7282999753952026,0.047237969003617764
birds,resnet50,2897,2897,200,0.36693593859672546,0.9862083792686462,0.016870107501745224,0.7314463257789612,0.05645894096232951
SVHN,resnet152_SD,6000,26032,10,0.0291448961943388,0.07860877364873886,0.006068041548132896,0.9815227389335632,0.05229145893827081
derma,beit,1003,2005,7,0.35116711258888245,0.7571622729301453,0.036724019795656204,0.7496259212493896,0.008384078042581677
derma,convnext,1003,2005,7,0.16863968968391418,0.3638286888599396,0.01530774962157011,0.8827930092811584,0.008260722970589995
derma,resnet50,1003,2005,7,0.18316304683685303,0.40189918875694275,0.027426457032561302,0.8763092160224915,0.008409720147028565
derma,vit,1003,2005,7,0.3785906732082367,0.8093910813331604,0.034161895513534546,0.7201995253562927,0.008273962885141373
oct,beit,10832,1000,4,0.41705024242401123,0.8496154546737671,0.15900492668151855,0.7260000109672546,0.04212661786004901
oct,convnext,10832,1000,4,0.1941530704498291,0.3796473443508148,0.05552185699343681,0.8769999742507935,0.04204202280379832
oct,resnet50,10832,1000,4,0.20727382600307465,0.45814430713653564,0.07606431841850281,0.8740000128746033,0.04864252218976617
oct,vit,10832,1000,4,0.4535492956638336,0.9027357697486877,0.15267936885356903,0.699999988079071,0.0419892908539623
