dataset,model,cal_size,test_size,n_classes,VS_brier,VS_logloss,VS_ece-15,VS_accuracy,VS_time
c10,densenet40,5000,10000,10,0.11007726937532425,0.2244005650281906,0.01133809331804514,0.9236999750137329,0.14738656184636056
c10,lenet5,5000,10000,10,0.35226139426231384,0.747161328792572,0.015443162061274052,0.7459999918937683,0.11088447296060622
c10,resnet_wide32,5000,10000,10,0.08886618912220001,0.18331575393676758,0.00749186659231782,0.9417999982833862,0.1303495119791478
c10,resnet110,5000,10000,10,0.09800037741661072,0.20784726738929749,0.012204116210341454,0.9352999925613403,0.09203077293932438
c10,resnet110_SD,5000,10000,10,0.08686220645904541,0.1768805980682373,0.008901332505047321,0.9419000148773193,0.09609445696696639
c100,densenet40,5000,10000,100,0.40162193775177,1.0607473850250244,0.01280574407428503,0.7003999948501587,0.47641989798285067
c100,lenet5,5000,10000,100,0.7668657898902893,2.5178956985473633,0.01289359014481306,0.36399999260902405,0.37994117103517056
c100,resnet_wide32,5000,10000,100,0.35178256034851074,0.9510124921798706,0.01842990145087242,0.7407000064849854,0.475622494937852
c100,resnet110,5000,10000,100,0.3911067247390747,1.095663070678711,0.027461878955364227,0.7153000235557556,0.33563934988342226
c100,resnet110_SD,5000,10000,100,0.35936251282691956,0.9316039085388184,0.017886752262711525,0.7350000143051147,0.35062580998055637
birds,resnet50,2897,2897,200,0.38120490312576294,2.4162662029266357,0.045763563364744186,0.7245426177978516,7.5913429039064795
SVHN,resnet152_SD,6000,26032,10,0.02986476942896843,0.08153962343931198,0.006952883210033178,0.981177031993866,0.06912701390683651
derma,beit,1003,2005,7,0.351310670375824,0.743457555770874,0.03770741447806358,0.7526184320449829,0.07002521189861
derma,convnext,1003,2005,7,0.16375939548015594,0.3406173884868622,0.014131474308669567,0.8902742862701416,0.06529457890428603
derma,resnet50,1003,2005,7,0.17687253654003143,0.37157249450683594,0.018653087317943573,0.8802992701530457,0.05857229698449373
derma,vit,1003,2005,7,0.37640976905822754,0.775608241558075,0.042451195418834686,0.7251870036125183,0.07571483799256384
oct,beit,10832,1000,4,0.36503875255584717,0.7282645106315613,0.13417956233024597,0.7609999775886536,0.06971989898011088
oct,convnext,10832,1000,4,0.1724591702222824,0.3373071253299713,0.0413273461163044,0.8939999938011169,0.05585815501399338
oct,resnet50,10832,1000,4,0.18961858749389648,0.4005880057811737,0.06566116213798523,0.8790000081062317,0.04741820297203958
oct,vit,10832,1000,4,0.4564010798931122,0.8841703534126282,0.16500115394592285,0.6949999928474426,0.06272070901468396
