dataset,model,cal_size,test_size,BBQ_brier,BBQ_logloss,BBQ_kuiper,BBQ_ece-15,BBQ_accuracy,BBQ_time
APSFailure,TabPFN-v2.6,50666,25334,0.008640335095908653,0.017886248002562458,0.0007908202242106199,0.0013983346289023757,0.9940396547317505,1.7630666580516845
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.0813777838389203,0.15726144511537477,0.010580956935882568,0.007539202459156513,0.9490982294082642,0.8622315172106028
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1981671621046311,0.32733386123901076,0.012536779046058655,0.015676209703087807,0.8638272285461426,0.25876232399605215
Bioresponse,TabPFN-v2.6,2500,1251,0.2775260560653962,0.43441677624396874,0.02713659405708313,0.022433025762438774,0.8033573031425476,0.10737013700418174
Diabetes130US,TabPFN-v2.6,47678,23840,0.1541079175857384,0.2822388377086101,0.02867814153432846,0.004728254862129688,0.9120385646820068,2.102390671847388
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.35571361146752084,0.5006947113207002,0.06975830346345901,0.021426310762763023,0.6891191601753235,0.25793842296116054
Fitness_Club,TabPFN-v2.6,1000,500,0.3134243142864698,0.4805017399019772,0.02977459318935871,0.03799346461892128,0.777999997138977,0.051380974939092994
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09762537433806387,0.17739797985121045,0.00718723563477397,0.0028140777722001076,0.9379400014877319,5.173496195115149
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.26876809308658706,0.4241621262221582,0.008564487099647522,0.011783936992287636,0.8059818148612976,0.5373506338801235
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.19414090618998375,0.33774972957427557,0.030574312433600426,0.015276151709258556,0.8852173686027527,0.05283275502733886
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13206995481487527,0.2226345902529205,0.01695128157734871,0.03092356212437153,0.9036144614219666,0.0644936109893024
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08529371943785072,0.14708699974780415,0.008331302553415298,0.012535830959677696,0.9431317448616028,0.17171611380763352
bank-marketing,TabPFN-v2.6,30140,15071,0.17236131652335931,0.3010326125165783,0.0047507137060165405,0.006627039518207312,0.8935040831565857,1.3119829101487994
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.3046800142616374,0.47818659499423155,0.02958160638809204,0.045150913298130035,0.7919999957084656,0.03429584112018347
churn,TabPFN-v2.6,3333,1667,0.058233266969909735,0.12000032334444634,0.014406444504857063,0.014062453992664814,0.9640071988105774,0.1122141731902957
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10742604422854216,0.20927859198570606,0.02066633105278015,0.00979724619537592,0.9404398202896118,0.22026037611067295
credit-g,TabPFN-v2.6,666,334,0.3461128920562062,0.5240949277618834,0.034286897629499435,0.06296229362487793,0.7455089688301086,0.04025139193981886
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.2628034435410382,0.42027589794402886,0.006381917744874954,0.010484670288860798,0.8234000205993652,0.9252587459050119
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.052894809059675064,0.0866619463262932,0.0013107983395457268,0.0024466849863529205,0.96269690990448,3.8631706619635224
diabetes,TabPFN-v2.6,512,256,0.31648694136217354,0.4845714172746607,0.034391384571790695,0.06749047338962555,0.76171875,0.03466012887656689
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.070634451312451,0.1304655817335505,0.011795483529567719,0.014320427551865578,0.9537500143051147,0.06488813203759491
heloc,TabPFN-v2.6,6972,3487,0.36488427240454413,0.5450601406704263,0.013153940439224243,0.022830713540315628,0.7324347496032715,0.30144273419864476
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.30014436745585504,0.4644275098741036,0.013256318867206573,0.025918668136000633,0.7894985675811768,0.37418662500567734
jm1,TabPFN-v2.6,7256,3629,0.2577737341301531,0.4088772658078756,0.011389296501874924,0.019376980140805244,0.8219895362854004,0.29097758000716567
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.03355799099396881,0.07954799222055535,0.008110802620649338,0.0004720320284832269,0.9821803569793701,1.1804312288295478
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.1397882407552296,0.23089584700103483,0.010954979807138443,0.008484781719744205,0.9024330973625183,0.3003413339611143
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.025303143030860203,0.0547519990340461,0.004308247473090887,0.005720228422433138,0.9852792024612427,0.12321061198599637
qsar-biodeg,TabPFN-v2.6,702,352,0.1985456060202651,0.33194475760010866,0.038882702589035034,0.04195230081677437,0.8409090638160706,0.039947840850800276
seismic-bumps,TabPFN-v2.6,1722,862,0.11242526797395445,0.21513030933625946,0.02455705590546131,0.012513340450823307,0.9338747262954712,0.06765592284500599
taiwanese_bankruptcy_prediction,TabPFN-v2.6,4546,2273,0.04534592266854888,0.09105070313125921,0.00588627066463232,0.005798589438199997,0.9714034199714661,0.1404719608835876
APSFailure,TabICLv2,50666,25334,0.008081401497242399,0.017042864766779943,0.0009485153132118285,0.0007368034566752613,0.9947896003723145,1.7396559282206
Amazon_employee_access,TabICLv2,21846,10923,0.08139314903897513,0.15808670461304608,0.01469290442764759,0.00520168524235487,0.9479996562004089,0.8582395149860531
Bank_Customer_Churn,TabICLv2,6666,3334,0.1972766553157367,0.3240846657561015,0.012417325749993324,0.01996793784201145,0.8677264451980591,0.2581901929806918
Bioresponse,TabICLv2,2500,1251,0.2934994800427176,0.45552073910882435,0.029370727017521858,0.04558364301919937,0.7969624400138855,0.10629822802729905
Diabetes130US,TabICLv2,47678,23840,0.1543228280168437,0.28226262128703905,0.01715730130672455,0.005282100755721331,0.9119547009468079,2.12486498686485
E-CommereShippingData,TabICLv2,7332,3667,0.3541843572359939,0.4986321392630008,0.03838852792978287,0.005392877850681543,0.6888464689254761,0.2555819619446993
Fitness_Club,TabICLv2,1000,500,0.32199573403219994,0.4887746960667498,0.044910211116075516,0.05658603832125664,0.7620000243186951,0.05141152301803231
GiveMeSomeCredit,TabICLv2,100000,50000,0.09752499054079707,0.1771953977054797,0.006709041073918343,0.0018004883313551545,0.9377400279045105,5.175561824114993
HR_Analytics_Job_Change_of_Data_Scientists,TabICLv2,12772,6386,0.2677908545017103,0.4233555668259786,0.01734628900885582,0.012696122750639915,0.8086439371109009,0.5407983120530844
Is-this-a-good-customer,TabICLv2,1148,575,0.19245678426897933,0.33251276378440486,0.03357435017824173,0.015961796045303345,0.8782608509063721,0.053253404097631574
Marketing_Campaign,TabICLv2,1493,747,0.14115530467571852,0.2321473219903955,0.02112414687871933,0.03228239715099335,0.8955823183059692,0.06412498001009226
NATICUSdroid,TabICLv2,4994,2497,0.08138507380671058,0.1419011418757563,0.005891935899853706,0.011283554136753082,0.9459351301193237,0.16981266997754574
bank-marketing,TabICLv2,30140,15071,0.17184976999833376,0.30023771249541353,0.01236698403954506,0.011898796074092388,0.8943003416061401,1.3194308700039983
blood-transfusion-service-center,TabICLv2,498,250,0.29673658612013937,0.467045195074027,0.05209829658269882,0.027057500556111336,0.800000011920929,0.0334719258826226
churn,TabICLv2,3333,1667,0.05064520352231454,0.11593844932533962,0.01981312222778797,0.010790428146719933,0.9712057709693909,0.10776555095799267
coil2000_insurance_policies,TabICLv2,6548,3274,0.10727060362797956,0.23265321968122768,0.019132545217871666,0.006555770989507437,0.9404398202896118,0.22124018496833742
credit-g,TabICLv2,666,334,0.3287581964831185,0.502625392175925,0.03432859107851982,0.04438098520040512,0.7664670944213867,0.04014139994978905
credit_card_clients_default,TabICLv2,20000,10000,0.2620559680741006,0.41925472722597135,0.013879545964300632,0.006729033309966326,0.8234000205993652,0.9273677689488977
customer_satisfaction_in_airline,TabICLv2,86586,43294,0.053138537261649535,0.08763411720958422,0.0013512487057596445,0.0028063575737178326,0.9620963931083679,3.817783067934215
diabetes,TabICLv2,512,256,0.31149719567632517,0.4752669135315385,0.03180670365691185,0.07725916057825089,0.74609375,0.03568555391393602
hazelnut-spread-contaminant-detection,TabICLv2,1600,800,0.056086650818168195,0.10341929544446377,0.00952635146677494,0.020051641389727592,0.9662500023841858,0.0634685440454632
heloc,TabICLv2,6972,3487,0.36561235476039017,0.5462732124274979,0.01568024605512619,0.015453294850885868,0.7304273247718811,0.30207881703972816
in_vehicle_coupon_recommendation,TabICLv2,8456,4228,0.31133475361773666,0.4783790762695581,0.011131256818771362,0.02098204754292965,0.7798013091087341,0.3757527999114245
jm1,TabICLv2,7256,3629,0.26201179319952256,0.4153378892360639,0.02145361341536045,0.01648752950131893,0.8197850584983826,0.28709368011914194
kddcup09_appetency,TabICLv2,33333,16667,0.03370890999460529,0.07995357486182407,0.00851443875581026,0.0015472150407731533,0.9821803569793701,1.1681302818469703
online_shoppers_intention,TabICLv2,8220,4110,0.14187868902302417,0.2335846089449985,0.01001339964568615,0.010950216092169285,0.9007299542427063,0.29851778293959796
polish_companies_bankruptcy,TabICLv2,3940,1970,0.030932671708268158,0.06526619429657703,0.007765685208141804,0.009566159918904305,0.9832487106323242,0.12391850003041327
qsar-biodeg,TabICLv2,702,352,0.18062500523628489,0.3092795356438112,0.03697691112756729,0.049229610711336136,0.8920454382896423,0.04016288206912577
seismic-bumps,TabICLv2,1722,862,0.11560804410238736,0.22200254486512155,0.024243097752332687,0.0071536884643137455,0.9338747262954712,0.06720617203973234
taiwanese_bankruptcy_prediction,TabICLv2,4546,2273,0.044425504014317475,0.08705095180153002,0.007350346073508263,0.0073746792040765285,0.9700835943222046,0.14081830601207912
APSFailure,RealTabPFN-v2.5,50666,25334,0.008850489441850013,0.017878543574223672,0.000813207239843905,0.001077130320481956,0.9944738149642944,1.787289239000529
Amazon_employee_access,RealTabPFN-v2.5,21846,10923,0.08373487832010265,0.16634459168112725,0.023302942514419556,0.0033559573348611593,0.9478165507316589,0.7713112079072744
Bank_Customer_Churn,RealTabPFN-v2.5,6666,3334,0.1960685140998575,0.3212651008959069,0.00917266309261322,0.021336272358894348,0.8671265840530396,0.2646900829859078
Bioresponse,RealTabPFN-v2.5,2500,1251,0.2732222556890312,0.4297727513338122,0.02472752332687378,0.0420568510890007,0.8145483732223511,0.10657578683458269
Diabetes130US,RealTabPFN-v2.5,47678,23840,0.15414678647413904,0.28578456383221024,0.024666503071784973,0.005014968104660511,0.9120805263519287,2.0608678518328816
E-CommereShippingData,RealTabPFN-v2.5,7332,3667,0.35436724264700803,0.4953083223447884,0.059253666549921036,0.005254602525383234,0.6899372935295105,0.2543458950240165
Fitness_Club,RealTabPFN-v2.5,1000,500,0.3285327028964342,0.5028868333298813,0.05780971422791481,0.06887190788984299,0.765999972820282,0.050985303008928895
GiveMeSomeCredit,RealTabPFN-v2.5,100000,50000,0.0972992084154738,0.17705264412692087,0.0045083146542310715,0.0048502227291464806,0.9385200142860413,5.336744790896773
HR_Analytics_Job_Change_of_Data_Scientists,RealTabPFN-v2.5,12772,6386,0.26867631203239883,0.4253127447349456,0.011409418657422066,0.008948580361902714,0.8083307147026062,0.5275659430772066
Is-this-a-good-customer,RealTabPFN-v2.5,1148,575,0.2033919637012958,0.3481570608959622,0.047789279371500015,0.027052348479628563,0.8695651888847351,0.055449916049838066
Marketing_Campaign,RealTabPFN-v2.5,1493,747,0.13330303819015826,0.22780516868259262,0.018522093072533607,0.02321045845746994,0.898259699344635,0.06442249100655317
NATICUSdroid,RealTabPFN-v2.5,4994,2497,0.08526847499487775,0.14590984000093826,0.00697301235049963,0.007987624034285545,0.9403284192085266,0.17385788005776703
bank-marketing,RealTabPFN-v2.5,30140,15071,0.17135555972646538,0.29915541782570615,0.005030190572142601,0.00480307312682271,0.894698441028595,1.464389372151345
blood-transfusion-service-center,RealTabPFN-v2.5,498,250,0.31399279345232317,0.4912158233390663,0.10230672359466553,0.027470270171761513,0.8040000200271606,0.03249996993690729
churn,RealTabPFN-v2.5,3333,1667,0.04919465875445112,0.1066801376325752,0.015643935650587082,0.008606676012277603,0.9694061279296875,0.11526867304928601
coil2000_insurance_policies,RealTabPFN-v2.5,6548,3274,0.11202240938083655,0.2257419259933266,0.054923295974731445,0.00015253477613441646,0.9404398202896118,0.1896413629874587
credit-g,RealTabPFN-v2.5,666,334,0.3389591012246389,0.5135552954262276,0.025520456954836845,0.036518387496471405,0.7514970302581787,0.0403369190171361
credit_card_clients_default,RealTabPFN-v2.5,20000,10000,0.2626763260469023,0.42062839681564085,0.014582827687263489,0.009237486869096756,0.8227999806404114,0.9095803489908576
customer_satisfaction_in_airline,RealTabPFN-v2.5,86586,43294,0.05399426204976866,0.08919291394296584,0.0014942710986360908,0.0027408034075051546,0.9625583291053772,3.9810262841638178
diabetes,RealTabPFN-v2.5,512,256,0.31150340553673234,0.4739135777277346,0.023240823298692703,0.06926055997610092,0.7734375,0.03498309897258878
hazelnut-spread-contaminant-detection,RealTabPFN-v2.5,1600,800,0.06986750192132256,0.13763961806122232,0.011236384510993958,0.011516200378537178,0.956250011920929,0.06379570602439344
heloc,RealTabPFN-v2.5,6972,3487,0.3672859593025614,0.5480722424416725,0.015456631779670715,0.01933038979768753,0.7304273247718811,0.2927610641345382
in_vehicle_coupon_recommendation,RealTabPFN-v2.5,8456,4228,0.3110251288180343,0.47742406792456193,0.012942774221301079,0.020304474979639053,0.7814569473266602,0.36579598602838814
jm1,RealTabPFN-v2.5,7256,3629,0.2632151614990749,0.43634928370152737,0.02854190580546856,0.01482303161174059,0.8156517148017883,0.28431865689344704
kddcup09_appetency,RealTabPFN-v2.5,33333,16667,0.033504242861029376,0.07925263058189481,0.007680934853851795,0.0007960689254105091,0.9821803569793701,1.1875307408627123
online_shoppers_intention,RealTabPFN-v2.5,8220,4110,0.14148922259921984,0.24380858307902714,0.013392343185842037,0.006426731590181589,0.9026764035224915,0.2877599748317152
polish_companies_bankruptcy,RealTabPFN-v2.5,3940,1970,0.02252985123599353,0.13028775066496284,0.005839858204126358,0.007618521805852652,0.9847715497016907,0.1517812958918512
qsar-biodeg,RealTabPFN-v2.5,702,352,0.1946729215979495,0.3394875844666025,0.048674486577510834,0.03924976661801338,0.8778409361839294,0.03946611611172557
seismic-bumps,RealTabPFN-v2.5,1722,862,0.12249552284409766,0.23987342997581462,0.041395146399736404,0.024852760136127472,0.9338747262954712,0.06403648387640715
taiwanese_bankruptcy_prediction,RealTabPFN-v2.5,4546,2273,0.04497341792816218,0.09695811269828139,0.010752434842288494,0.005759831517934799,0.9722833037376404,0.13876217999495566
APSFailure,TabICL_GPU,50666,25334,0.008945819020254197,0.018125210818426368,0.0008860899251885712,0.0010728847701102495,0.9943554401397705,1.7544793921988457
Amazon_employee_access,TabICL_GPU,21846,10923,0.08102044075416494,0.15851092481241683,0.014559995383024216,0.003481192048639059,0.9482742547988892,0.8575123948976398
Bank_Customer_Churn,TabICL_GPU,6666,3334,0.2025881719851311,0.33847095236429015,0.015750691294670105,0.00786320585757494,0.8647270798683167,0.25872174301184714
Diabetes130US,TabICL_GPU,47678,23840,0.15682282882779336,0.28770090794322667,0.017072785645723343,0.0034682233817875385,0.911912739276886,2.0525229710619897
E-CommereShippingData,TabICL_GPU,7332,3667,0.35598825606904927,0.5033980620905523,0.06589756906032562,0.0060577113181352615,0.6853013634681702,0.2641502730548382
Fitness_Club,TabICL_GPU,1000,500,0.3146994942138409,0.4813985343137334,0.04859001934528351,0.03043173998594284,0.7639999985694885,0.051406000973656774
GiveMeSomeCredit,TabICL_GPU,100000,50000,0.09791647881667842,0.17783188246915263,0.006341901607811451,0.0031360944267362356,0.9374799728393555,5.133249253965914
HR_Analytics_Job_Change_of_Data_Scientists,TabICL_GPU,12772,6386,0.26946551062900675,0.42556975457898394,0.013601272366940975,0.012215507216751575,0.8073911666870117,0.5427072478923947
Is-this-a-good-customer,TabICL_GPU,1148,575,0.19048161980795586,0.3317596501069694,0.026038117706775665,0.011808304116129875,0.8852173686027527,0.05317917303182185
Marketing_Campaign,TabICL_GPU,1493,747,0.1479201605144332,0.24806511307718543,0.01690681464970112,0.03333515301346779,0.8995984196662903,0.06463625002652407
NATICUSdroid,TabICL_GPU,4994,2497,0.07996923950108085,0.14141482757917367,0.005786837078630924,0.010652052238583565,0.9467360973358154,0.1691409070044756
bank-marketing,TabICL_GPU,30140,15071,0.17256693421593833,0.30124576672029557,0.010511539876461029,0.00439756503328681,0.8932386636734009,1.3069892299827188
blood-transfusion-service-center,TabICL_GPU,498,250,0.3157408368211772,0.49129429390647267,0.032802220433950424,0.05200378969311714,0.7720000147819519,0.03354546590708196
churn,TabICL_GPU,3333,1667,0.06874034184304649,0.13982707715745019,0.01552167534828186,0.014652468264102936,0.9574085474014282,0.11378095299005508
coil2000_insurance_policies,TabICL_GPU,6548,3274,0.10629824122278038,0.20643891129950023,0.01810625195503235,0.004873156081885099,0.9404398202896118,0.2197006498463452
credit-g,TabICL_GPU,666,334,0.3413104862174063,0.5172898582175603,0.04664044827222824,0.04872932285070419,0.7634730339050293,0.04031881992705166
credit_card_clients_default,TabICL_GPU,20000,10000,0.2641901463693901,0.42298497403993063,0.035520173609256744,0.006848752032965422,0.822700023651123,0.9246668380219489
customer_satisfaction_in_airline,TabICL_GPU,86586,43294,0.05717290735805198,0.09325302021520497,0.0011493335478007793,0.001377044478431344,0.959740400314331,3.8570204020943493
diabetes,TabICL_GPU,512,256,0.32206414159866614,0.49117714178081306,0.031018000096082687,0.043904926627874374,0.76171875,0.034935008035972714
hazelnut-spread-contaminant-detection,TabICL_GPU,1600,800,0.06651145399579128,0.12898349891346633,0.011108338832855225,0.014193849638104439,0.9574999809265137,0.06440855283290148
heloc,TabICL_GPU,6972,3487,0.36625200649357015,0.5471508328847635,0.030421607196331024,0.014626280404627323,0.7310008406639099,0.301708925049752
in_vehicle_coupon_recommendation,TabICL_GPU,8456,4228,0.30813388443197176,0.4736213425717717,0.011555954813957214,0.024139177054166794,0.7781456708908081,0.3742219910491258
jm1,TabICL_GPU,7256,3629,0.2569235777694025,0.41022686569540145,0.010975210927426815,0.011901109479367733,0.8241940140724182,0.2860916890203953
kddcup09_appetency,TabICL_GPU,33333,16667,0.033962924283349495,0.08118751091163613,0.00851253792643547,0.0007220724364742637,0.9821803569793701,1.1529215949121863
online_shoppers_intention,TabICL_GPU,8220,4110,0.1418882876906234,0.23496863793857833,0.01163523644208908,0.0129584651440382,0.899756669998169,0.29882681695744395
polish_companies_bankruptcy,TabICL_GPU,3940,1970,0.04297568736042826,0.13034648418147474,0.008348356001079082,0.007789161521941423,0.9751269221305847,0.1256266839336604
qsar-biodeg,TabICL_GPU,702,352,0.1783166284464655,0.3018451719014638,0.04475771635770798,0.04094133526086807,0.8892045617103577,0.040352960815653205
seismic-bumps,TabICL_GPU,1722,862,0.11387288309773697,0.21510488596333194,0.0220706257969141,0.019083339720964432,0.9338747262954712,0.0672687899786979
