dataset,model,cal_size,test_size,CIR_brier,CIR_logloss,CIR_kuiper,CIR_ece-15,CIR_accuracy,CIR_time
APSFailure,TabPFN-v2.6,50666,25334,0.008484264621367494,0.015660839023427825,0.0005504889995791018,0.0012760501122102141,0.9944343566894531,0.0190530838444829
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08127808080987524,0.17872887589205644,0.0029419995844364166,0.006531397812068462,0.9486404657363892,0.008932705968618393
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1965685025990394,0.34616678017116304,0.00701441615819931,0.019302448257803917,0.8659268021583557,0.0048930898774415255
Bioresponse,TabPFN-v2.6,2500,1251,0.2713461488370167,0.4194671710917181,0.022741258144378662,0.039116933941841125,0.808952808380127,0.003336608875542879
Diabetes130US,TabPFN-v2.6,47678,23840,0.15355064117701783,0.2973362171992027,0.003315459471195936,0.003829080844298005,0.9119966626167297,0.01752959401346743
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.35550505945689603,0.519154089490706,0.015007391571998596,0.016968870535492897,0.6874829530715942,0.0043852191884070635
Fitness_Club,TabPFN-v2.6,1000,500,0.31448270619605817,0.4812300887501412,0.02518511563539505,0.05704265087842941,0.777999997138977,0.0030506199691444635
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09742430799393469,0.17555007002089212,0.00108351930975914,0.002837230684235692,0.9379199743270874,0.0403440548107028
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.26803913461169354,0.4228624129178408,0.008084103465080261,0.00994929764419794,0.8064516186714172,0.006014153128489852
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.19408690917554952,0.3260721430503974,0.01676260307431221,0.03582107275724411,0.8765217661857605,0.0026289620436728
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13096627481973522,0.20858249269059423,0.015568677335977554,0.028076758608222008,0.9062918424606323,0.002904213033616543
NATICUSdroid,TabPFN-v2.6,4994,2497,0.0832750877248602,0.3049027071498654,0.005432655103504658,0.011967683210968971,0.9443331956863403,0.0042413228657096624
bank-marketing,TabPFN-v2.6,30140,15071,0.17161489543592348,0.3046604815824303,0.003513682633638382,0.006093862000852823,0.8939685225486755,0.011657358147203922
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.3108931083944102,0.4968651269658329,0.04924327880144119,0.09174113720655441,0.7879999876022339,0.0031804179307073355
churn,TabPFN-v2.6,3333,1667,0.0587799124850059,0.12105753244195104,0.0067100124433636665,0.015592653304338455,0.9646070599555969,0.003351347055286169
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10554264115826198,0.20073441318606783,0.005507316440343857,0.008087139576673508,0.9404398202896118,0.004530917154625058
credit-g,TabPFN-v2.6,666,334,0.33271113876320335,0.49705336692892943,0.045415524393320084,0.0780230313539505,0.7455089688301086,0.0024708998389542103
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.26218510959015595,0.4192052383477479,0.004316970705986023,0.01038145087659359,0.8238999843597412,0.008124810177832842
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.052698204397024995,0.08398979131017571,0.0012019393034279346,0.0024241621140390635,0.9628816843032837,0.031187759013846517
diabetes,TabPFN-v2.6,512,256,0.31267072806039226,0.47929034418496025,0.027087867259979248,0.0834224671125412,0.78125,0.002339417114853859
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.06676111532218443,0.22028818185101517,0.010172163136303425,0.016895819455385208,0.9612500071525574,0.002432545181363821
heloc,TabPFN-v2.6,6972,3487,0.3638392265594659,0.545532236471783,0.013319000601768494,0.02052377723157406,0.7327215075492859,0.004576040897518396
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.298532743018514,0.48201819344147634,0.013776980340480804,0.025187183171510696,0.789262056350708,0.005279238102957606
jm1,TabPFN-v2.6,7256,3629,0.2578996707991039,0.5938767894966354,0.009143739938735962,0.018582189455628395,0.8219895362854004,0.004389114212244749
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.03334122433283653,0.07541538943539164,0.0019027702510356903,0.0010369702940806746,0.9821803569793701,0.011546194087713957
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.1388476432502188,0.24226674210953092,0.005328011699020863,0.00984244979918003,0.901946485042572,0.004852817161008716
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.02480766561357403,0.17430691200330903,0.003798208897933364,0.005383864976465702,0.9868020415306091,0.0033914740197360516
qsar-biodeg,TabPFN-v2.6,702,352,0.18804983838915182,1.0191014311043576,0.03592634201049805,0.03935239464044571,0.8806818127632141,0.002440099138766527
seismic-bumps,TabPFN-v2.6,1722,862,0.11029336578627995,0.2980820420720183,0.009573448449373245,0.008332489989697933,0.9338747262954712,0.0026217009872198105
taiwanese_bankruptcy_prediction,TabPFN-v2.6,4546,2273,0.043281361682733374,0.07768272732728558,0.0039270417764782906,0.010894848965108395,0.9709634780883789,0.00352609995752573
APSFailure,TabICLv2,50666,25334,0.007960272010087878,0.014627356732335929,0.00046901166206225753,0.000897419115062803,0.9947896003723145,0.01613498223014176
Amazon_employee_access,TabICLv2,21846,10923,0.08079885611738999,0.1628749673458391,0.0020755883306264877,0.0038191669154912233,0.9484573602676392,0.008986375061795115
Bank_Customer_Churn,TabICLv2,6666,3334,0.19707021283129325,0.32191355912782704,0.010553679428994656,0.022912126034498215,0.8674265146255493,0.004534316016361117
Bioresponse,TabICLv2,2500,1251,0.29177206026803526,0.4504246199996705,0.028969520702958107,0.04303499683737755,0.7993605136871338,0.002999081974849105
Diabetes130US,TabICLv2,47678,23840,0.15406755377593773,0.28095736141712874,0.0034556910395622253,0.004316399339586496,0.9119547009468079,0.015787729993462563
E-CommereShippingData,TabICLv2,7332,3667,0.35435799471405016,0.5175864205816483,0.010694295167922974,0.013329421170055866,0.6888464689254761,0.004493378102779388
Fitness_Club,TabICLv2,1000,500,0.3139888353573515,0.47774240035141796,0.02245408669114113,0.05088178068399429,0.7760000228881836,0.003069013822823763
GiveMeSomeCredit,TabICLv2,100000,50000,0.09735664169786035,0.1754825142826482,0.0009180601336993277,0.0021375392097979784,0.9376800060272217,0.04044504789635539
HR_Analytics_Job_Change_of_Data_Scientists,TabICLv2,12772,6386,0.2669211940281253,0.42117885083424,0.006856396794319153,0.011674867942929268,0.8091136813163757,0.006332827964797616
Is-this-a-good-customer,TabICLv2,1148,575,0.19138777482936367,0.3222136039018803,0.014308271929621696,0.02783380262553692,0.8765217661857605,0.002546141855418682
Marketing_Campaign,TabICLv2,1493,747,0.1344148696056206,0.2115014686020456,0.014235572889447212,0.028140127658843994,0.8955823183059692,0.0025739979464560747
NATICUSdroid,TabICLv2,4994,2497,0.08044149125753827,0.20112791680875516,0.004427928477525711,0.008882925845682621,0.945134162902832,0.0037049290258437395
bank-marketing,TabICLv2,30140,15071,0.17126501488708593,0.29905834961616434,0.006475700065493584,0.012429163791239262,0.8943666815757751,0.011036301963031292
blood-transfusion-service-center,TabICLv2,498,250,0.30267440084280334,0.4962602377787334,0.046150077134370804,0.09884428977966309,0.7919999957084656,0.0023369519039988518
churn,TabICLv2,3333,1667,0.050448818198643934,0.21109637452863955,0.01253252848982811,0.012298695743083954,0.9682063460350037,0.003192798001691699
coil2000_insurance_policies,TabICLv2,6548,3274,0.10577196073256805,0.2003297906189247,0.00554528646171093,0.00556359626352787,0.9404398202896118,0.00440572714433074
credit-g,TabICLv2,666,334,0.3332293249413801,0.5061714253660022,0.049260810017585754,0.0693860724568367,0.7634730339050293,0.0025103611405938864
credit_card_clients_default,TabICLv2,20000,10000,0.2612883737852231,0.4175899882561895,0.0044480361975729465,0.007488973438739777,0.823199987411499,0.009598864940926433
customer_satisfaction_in_airline,TabICLv2,86586,43294,0.05306845566140052,0.08610709811351461,0.0016018734313547611,0.003142516128718853,0.9621425867080688,0.027647848008200526
diabetes,TabICLv2,512,256,0.3059886182568856,0.47536732916314767,0.021882571280002594,0.054264750331640244,0.75390625,0.0024962150491774082
hazelnut-spread-contaminant-detection,TabICLv2,1600,800,0.04947082427771697,0.1884228510138412,0.0066147856414318085,0.01670967787504196,0.96875,0.002710239961743355
heloc,TabICLv2,6972,3487,0.36327899550635157,0.5439518937597129,0.013961099088191986,0.026565004140138626,0.7307140827178955,0.005120478104799986
in_vehicle_coupon_recommendation,TabICLv2,8456,4228,0.31105480331572893,0.5360325520376972,0.00912591814994812,0.023045700043439865,0.7790917754173279,0.005512948147952557
jm1,TabICLv2,7256,3629,0.2611614135759063,0.5489589066074727,0.01702188327908516,0.01706908643245697,0.8206117153167725,0.0049488788936287165
kddcup09_appetency,TabICLv2,33333,16667,0.03353548387694932,0.0765923187888138,0.0016334436368197203,0.0008729267283342779,0.9821803569793701,0.012112334137782454
online_shoppers_intention,TabICLv2,8220,4110,0.14084652788113497,0.22459497997240463,0.006925665307790041,0.01363709568977356,0.8999999761581421,0.005093718878924847
polish_companies_bankruptcy,TabICLv2,3940,1970,0.030094281169093292,0.10124528718041352,0.007815993390977383,0.011800849810242653,0.9837563633918762,0.00335320713929832
qsar-biodeg,TabICLv2,702,352,0.1752054587936258,1.0003566806138726,0.03464950621128082,0.06374472379684448,0.8892045617103577,0.002203552983701229
seismic-bumps,TabICLv2,1722,862,0.11017133916649866,0.2987413896372169,0.012978680431842804,0.014937229454517365,0.9338747262954712,0.0024603889323771
taiwanese_bankruptcy_prediction,TabICLv2,4546,2273,0.04194851065910936,0.07712644570138509,0.0049238852225244045,0.007622258737683296,0.9727232456207275,0.003276645904406905
APSFailure,RealTabPFN-v2.5,50666,25334,0.00865122894557129,0.016297857519546877,0.0004723810125142336,0.0011427081190049648,0.9945527911186218,0.015044021885842085
Amazon_employee_access,RealTabPFN-v2.5,21846,10923,0.08248791143239585,0.16630496509498682,0.0022693127393722534,0.003934688866138458,0.9481827616691589,0.00851137493737042
Bank_Customer_Churn,RealTabPFN-v2.5,6666,3334,0.194942170437655,0.31901200603694746,0.007480232510715723,0.020511610433459282,0.8698260188102722,0.004769844003021717
Bioresponse,RealTabPFN-v2.5,2500,1251,0.2724244768151498,0.42185399798353385,0.021601011976599693,0.036930151283741,0.7993605136871338,0.003001624019816518
Diabetes130US,RealTabPFN-v2.5,47678,23840,0.1542537947814299,0.2851675327368657,0.004024792928248644,0.003956083673983812,0.9119547009468079,0.015040949918329716
E-CommereShippingData,RealTabPFN-v2.5,7332,3667,0.3555651528828145,0.5190893579570759,0.01546180248260498,0.01968318410217762,0.6855740547180176,0.003979784902185202
Fitness_Club,RealTabPFN-v2.5,1000,500,0.31485581224102743,0.6449240225678775,0.026990260928869247,0.0709671899676323,0.7620000243186951,0.002373694907873869
GiveMeSomeCredit,RealTabPFN-v2.5,100000,50000,0.09701886058112388,0.17542210997397578,0.002538256347179413,0.003750148229300976,0.9384400248527527,0.04657174996100366
HR_Analytics_Job_Change_of_Data_Scientists,RealTabPFN-v2.5,12772,6386,0.26775289127985696,0.42285598813755915,0.008015457540750504,0.010518747381865978,0.8075477480888367,0.005987253971397877
Is-this-a-good-customer,RealTabPFN-v2.5,1148,575,0.20817713178784525,0.7979124139528256,0.021520424634218216,0.038934867829084396,0.8695651888847351,0.002853709040209651
Marketing_Campaign,RealTabPFN-v2.5,1493,747,0.13170741177631728,0.20917265176966926,0.013715384528040886,0.025603927671909332,0.9009370803833008,0.0030032589565962553
NATICUSdroid,RealTabPFN-v2.5,4994,2497,0.08436241672958955,0.3062695403148134,0.006348036229610443,0.011458939872682095,0.9411293268203735,0.0038173729553818703
bank-marketing,RealTabPFN-v2.5,30140,15071,0.17124017123832405,0.2986379117962073,0.002685796469449997,0.006052438169717789,0.8941012620925903,0.011404193006455898
blood-transfusion-service-center,RealTabPFN-v2.5,498,250,0.30022924836403636,0.5174360202651946,0.0479443185031414,0.10698803514242172,0.8119999766349792,0.0023919011000543833
churn,RealTabPFN-v2.5,3333,1667,0.04976294932016042,0.10631698773322786,0.008445586077868938,0.012827461585402489,0.9682063460350037,0.003148315940052271
coil2000_insurance_policies,RealTabPFN-v2.5,6548,3274,0.10579764320223113,0.20148640676007393,0.008662482723593712,0.008210746571421623,0.9404398202896118,0.004446616163477302
credit-g,RealTabPFN-v2.5,666,334,0.33037299811856075,0.499000854179281,0.034541770815849304,0.06197533383965492,0.7544910311698914,0.0026307180523872375
credit_card_clients_default,RealTabPFN-v2.5,20000,10000,0.26233622814998436,0.41935071907723576,0.004858194850385189,0.009148769080638885,0.8227999806404114,0.009244335116818547
customer_satisfaction_in_airline,RealTabPFN-v2.5,86586,43294,0.05391944697171246,0.0871238887426381,0.0013774298131465912,0.003185819135978818,0.9625121355056763,0.03247980400919914
diabetes,RealTabPFN-v2.5,512,256,0.3096774417048641,0.47235154864211226,0.022484373301267624,0.07404903322458267,0.77734375,0.0025076339952647686
hazelnut-spread-contaminant-detection,RealTabPFN-v2.5,1600,800,0.06487828051236479,0.21688912056074638,0.009303940460085869,0.014351018704473972,0.9574999809265137,0.0025139038916677237
heloc,RealTabPFN-v2.5,6972,3487,0.3642226526589899,0.6161038300712223,0.013634070754051208,0.021200591698288918,0.7338686585426331,0.004684175830334425
