dataset,model,cal_size,test_size,Kernel_brier,Kernel_logloss,Kernel_kuiper,Kernel_ece-15,Kernel_accuracy,Kernel_time
APSFailure,TabPFN-v2.6,50666,25334,0.008651342242956161,0.018237296491861343,0.002040071878582239,0.0018667447147890925,0.9944343566894531,11.330317204119638
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08241833001375198,0.16051766276359558,0.012800872325897217,0.011595292948186398,0.9487320184707642,4.827389833983034
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.1976698637008667,0.32563093304634094,0.02062475122511387,0.025732088834047318,0.8680263757705688,1.0193580829072744
Bioresponse,TabPFN-v2.6,2500,1251,0.2711779773235321,0.4226861298084259,0.02450767159461975,0.034237731248140335,0.8073540925979614,0.1290491980034858
Diabetes130US,TabPFN-v2.6,47678,23840,0.1555672585964203,0.28522875905036926,0.01783318817615509,0.02283323183655739,0.9119966626167297,9.78823527903296
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.3543527126312256,0.4970685541629791,0.009750545024871826,0.005628915037959814,0.6883010864257812,1.2925692449789494
Fitness_Club,TabPFN-v2.6,1000,500,0.3166344165802002,0.48313164710998535,0.040606316179037094,0.0614950954914093,0.777999997138977,0.019248858094215393
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.09842406213283539,0.1800612062215805,0.013229717500507832,0.013030936941504478,0.9379000067710876,20.620704025030136
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.2685786783695221,0.42466437816619873,0.013956878334283829,0.009227019734680653,0.8072345852851868,2.9461349749471992
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.19136199355125427,0.32739773392677307,0.0357205867767334,0.030519496649503708,0.8852173686027527,0.025513756088912487
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13369309902191162,0.21595972776412964,0.03116968832910061,0.031284935772418976,0.9036144614219666,0.03875508392229676
NATICUSdroid,TabPFN-v2.6,4994,2497,0.08374547958374023,0.14562492072582245,0.007255133707076311,0.018438545987010002,0.945134162902832,0.765113266883418
bank-marketing,TabPFN-v2.6,30140,15071,0.17389504611492157,0.3041476011276245,0.02089536562561989,0.023948196321725845,0.8935040831565857,6.244896026095375
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.3152053952217102,0.4914093017578125,0.05099575221538544,0.07520575076341629,0.7799999713897705,0.005393592873588204
churn,TabPFN-v2.6,3333,1667,0.05950329080224037,0.1219131350517273,0.007191131357103586,0.01467290148139,0.9640071988105774,0.2736465611960739
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10628020018339157,0.2045401930809021,0.018329203128814697,0.014689008705317974,0.9404398202896118,0.7523943451233208
credit-g,TabPFN-v2.6,666,334,0.3338928818702698,0.503447949886322,0.02071240544319153,0.05292416363954544,0.757485032081604,0.009334261994808912
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.2635272443294525,0.4213048815727234,0.015575246885418892,0.016397159546613693,0.8238000273704529,4.628417134983465
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.053021300584077835,0.08804429322481155,0.00448965560644865,0.005981224123388529,0.9630202651023865,35.627806996926665
diabetes,TabPFN-v2.6,512,256,0.3131679594516754,0.4719606637954712,0.03485092893242836,0.09603117406368256,0.76171875,0.005212737945839763
hazelnut-spread-contaminant-detection,TabPFN-v2.6,1600,800,0.06636703014373779,0.1274084597826004,0.01849905401468277,0.02297321893274784,0.9599999785423279,0.07798224408179522
heloc,TabPFN-v2.6,6972,3487,0.36347880959510803,0.5434192419052124,0.011772718280553818,0.02315014973282814,0.7310008406639099,0.8577745391521603
in_vehicle_coupon_recommendation,TabPFN-v2.6,8456,4228,0.29814091324806213,0.46108129620552063,0.012098760344088078,0.02134297601878643,0.7904446721076965,1.390986735932529
jm1,TabPFN-v2.6,7256,3629,0.2588808238506317,0.4109627306461334,0.023482754826545715,0.029702499508857727,0.8208872675895691,0.9631613218225539
kddcup09_appetency,TabPFN-v2.6,33333,16667,0.03417407348752022,0.08083190023899078,0.009461471810936928,0.00822952389717102,0.9821803569793701,6.0141785829328
online_shoppers_intention,TabPFN-v2.6,8220,4110,0.1405009925365448,0.22861343622207642,0.01751161552965641,0.022627491503953934,0.9031630158424377,1.6283260649070144
polish_companies_bankruptcy,TabPFN-v2.6,3940,1970,0.025197364389896393,0.05390271171927452,0.007184045854955912,0.007701977156102657,0.9847715497016907,0.32074134703725576
qsar-biodeg,TabPFN-v2.6,702,352,0.18851150572299957,0.32025930285453796,0.0447414256632328,0.05632506683468819,0.8778409361839294,0.010715099051594734
