dataset,model,cal_size,test_size,Scaling-Binning_brier,Scaling-Binning_logloss,Scaling-Binning_kuiper,Scaling-Binning_ece-15,Scaling-Binning_accuracy,Scaling-Binning_time
APSFailure,TabPFN-v2.6,50666,25334,0.029986028185616496,0.04906984609319829,0.013179942965507507,0.0006208437262102962,0.9818820357322693,0.07424918212927878
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08955384219535083,0.1657170887075558,0.02317345142364502,0.004175072070211172,0.9421404600143433,0.02966823591850698
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.19901194655217244,0.326924296384298,0.024272873997688293,0.011867119930684566,0.8662267327308655,0.010877290042117238
Bioresponse,TabPFN-v2.6,2500,1251,0.2725375067931981,0.4225060552033951,0.029482126235961914,0.028051963075995445,0.8017585873603821,0.005232673836871982
Diabetes130US,TabPFN-v2.6,47678,23840,0.15429395012583932,0.280796511667763,0.017237722873687744,0.003421662375330925,0.9119966626167297,0.06821857998147607
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.35856613753541733,0.506054370250687,0.02708427980542183,0.006473114714026451,0.6893918514251709,0.011830914067104459
Fitness_Club,TabPFN-v2.6,1000,500,0.3169409276613136,0.4832303959005812,0.029383502900600433,0.04559865593910217,0.7799999713897705,0.003495072014629841
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.10196592164181913,0.18060433168405435,0.0160917229950428,0.0010497880866751075,0.9331600069999695,0.14390874886885285
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.27019397204885176,0.4255077858499028,0.027990438044071198,0.01131831482052803,0.8058252334594727,0.017845043912529945
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.18752496588824238,0.3183082541900498,0.02247631549835205,0.022079724818468094,0.8852173686027527,0.004172296030446887
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13651819625929568,0.2203945217345161,0.026143373921513557,0.0267160814255476,0.9062918424606323,0.004136112052947283
NATICUSdroid,TabPFN-v2.6,4994,2497,0.09180888975737272,0.1541404611533802,0.02230321615934372,0.009544271044433117,0.9351221323013306,0.007820184109732509
bank-marketing,TabPFN-v2.6,30140,15071,0.17699138053514876,0.3047212805464916,0.017883727326989174,0.005097980611026287,0.8830203413963318,0.04190623899921775
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.3107561744299276,0.49323160967193846,0.0466269850730896,0.07278770208358765,0.7799999713897705,0.0031323810108006
churn,TabPFN-v2.6,3333,1667,0.06979128102369081,0.13981674255727883,0.015410327352583408,0.006063083186745644,0.9580084085464478,0.006231717066839337
coil2000_insurance_policies,TabPFN-v2.6,6548,3274,0.10588784872542976,0.20027969252455557,0.014868440106511116,0.003481209045276046,0.9404398202896118,0.01122971810400486
credit-g,TabPFN-v2.6,666,334,0.334193727448125,0.5021255295663685,0.04641546681523323,0.04344279691576958,0.757485032081604,0.003008195897564292
credit_card_clients_default,TabPFN-v2.6,20000,10000,0.26414098850942064,0.4215950262051831,0.016347572207450867,0.005853335838764906,0.823199987411499,0.028168000048026443
customer_satisfaction_in_airline,TabPFN-v2.6,86586,43294,0.060682643768528416,0.09548040313674941,0.02394690178334713,0.0012279832735657692,0.9510093927383423,0.1086956721264869
diabetes,TabPFN-v2.6,512,256,0.31133627195018265,0.4660495400075468,0.03430828079581261,0.06326254457235336,0.76171875,0.0030100629664957523
