dataset,model,cal_size,test_size,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_kuiper,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
APSFailure,TabPFN-v2.6,50666,25334,0.00857416674216809,0.016016208374629675,0.000956849311478436,0.0014399635838344693,0.9942370057106018,0.17192695499397814
Amazon_employee_access,TabPFN-v2.6,21846,10923,0.08113728490002076,0.15575227705093542,0.0037450939416885376,0.0058823879808187485,0.9490982294082642,0.05619357596151531
Bank_Customer_Churn,TabPFN-v2.6,6666,3334,0.19717121242741692,0.3230002541765167,0.011356953531503677,0.019152823835611343,0.8662267327308655,0.04352279705926776
Bioresponse,TabPFN-v2.6,2500,1251,0.27242001846455993,0.424696671571164,0.024396538734436035,0.03501276299357414,0.8097522258758545,0.01998688792809844
Diabetes130US,TabPFN-v2.6,47678,23840,0.1535736455468981,0.27975035040339474,0.006455117836594582,0.003971840720623732,0.9119966626167297,0.0544442490208894
E-CommereShippingData,TabPFN-v2.6,7332,3667,0.3553990157812689,0.4967802874149152,0.045255184173583984,0.01988641731441021,0.6877556443214417,0.03031706903129816
Fitness_Club,TabPFN-v2.6,1000,500,0.3170654877485749,0.48115889140706386,0.022624902427196503,0.06916380673646927,0.7559999823570251,0.010524994926527143
GiveMeSomeCredit,TabPFN-v2.6,100000,50000,0.0974953775472229,0.17573307054758128,0.0022381730377674103,0.0030162937473505735,0.9379600286483765,0.11534076393581927
HR_Analytics_Job_Change_of_Data_Scientists,TabPFN-v2.6,12772,6386,0.2684476652996348,0.4235877797391934,0.01144392043352127,0.014479323290288448,0.8070780038833618,0.02597067505121231
Is-this-a-good-customer,TabPFN-v2.6,1148,575,0.1952323627766091,0.32851218567507706,0.024288855493068695,0.033345241099596024,0.8765217661857605,0.012380962958559394
Marketing_Campaign,TabPFN-v2.6,1493,747,0.13190032233542195,0.21401725126572924,0.018242741003632545,0.03443777561187744,0.9062918424606323,0.02381838485598564
NATICUSdroid,TabPFN-v2.6,4994,2497,0.0832781103474029,0.14293909696045165,0.006686795502901077,0.01403364073485136,0.9443331956863403,0.10985238803550601
bank-marketing,TabPFN-v2.6,30140,15071,0.17170255056354639,0.2992844115080189,0.0055658770725131035,0.005679255351424217,0.8940349221229553,0.0520458840765059
blood-transfusion-service-center,TabPFN-v2.6,498,250,0.31169295068667363,0.49865837831042176,0.050720877945423126,0.08021914958953857,0.7879999876022339,0.004800611874088645
churn,TabPFN-v2.6,3333,1667,0.05812672625219313,0.12009815684027395,0.01106543093919754,0.016537543386220932,0.9646070599555969,0.023414773866534233
