dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
MIC,TabPFN-v2.6,1132,567,8,0.1811417067333244,0.46401772528788837,0.03256772831082344,0.8888888955116272,1.3734242639038712
SDSS17,TabPFN-v2.6,52035,26018,3,0.03428176860197368,0.0675628312569901,0.001081479829736054,0.9788607954978943,11.061241175048053
anneal,TabPFN-v2.6,598,300,5,0.007396061156519821,0.02574042627676232,0.002572468016296625,0.996666669845581,3.116377020953223
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06858902903294468,0.17651132607934092,0.0005753460573032498,0.9648985862731934,0.7349798500072211
maternal_health_risk,TabPFN-v2.6,676,338,3,0.1881630740954825,0.36463513928619046,0.045784734189510345,0.8698225021362305,0.5278098178096116
splice,TabPFN-v2.6,2126,1064,3,0.03495491231900214,0.07643322262090153,0.0129252253100276,0.9755638837814331,0.7695928879547864
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.31491407868356874,0.5580927922682343,0.03247823566198349,0.7810169458389282,0.8626671039965004
website_phishing,TabPFN-v2.6,902,451,3,0.1107182056392027,0.2041134660538237,0.015084861777722836,0.9290465712547302,0.6059915269725025
MIC,TabICLv2,1132,567,8,0.18542054746606296,0.4720235906048895,0.03273243084549904,0.8871251940727234,1.3671276420354843
SDSS17,TabICLv2,52035,26018,3,0.03539309638096633,0.07130637714428602,0.0020305365324020386,0.9782842397689819,10.707812158856541
anneal,TabICLv2,598,300,5,0.011533794780682035,0.036637423663386806,0.010145659558475018,0.996666669845581,2.1455217401962727
hiva_agnostic,TabICLv2,2563,1282,3,0.06856415786180972,0.1766758372793794,0.0029131039045751095,0.9648985862731934,0.5680772629566491
maternal_health_risk,TabICLv2,676,338,3,0.18075826897625602,0.3522857613484063,0.033464036881923676,0.88165682554245,0.6943912671413273
splice,TabICLv2,2126,1064,3,0.03395758401905202,0.0749232993984494,0.013124724850058556,0.9774436354637146,0.7300320970825851
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3123642785786167,0.5549371984912037,0.02950068563222885,0.7823728919029236,0.764952789992094
website_phishing,TabICLv2,902,451,3,0.10813685023342204,0.2021085806148614,0.02527598664164543,0.9379157423973083,0.5385229620151222
MIC,RealTabPFN-v2.5,1132,567,8,0.18141086595066996,0.4638908683627015,0.0311654731631279,0.8853615522384644,1.0820697469171137
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03202471818271216,0.06466458963478562,0.0007438727770932019,0.9807441234588623,10.975335757015273
anneal,RealTabPFN-v2.5,598,300,5,0.010595456209095949,0.029759323631440106,0.004220471251755953,0.9933333396911621,2.0262914299964905
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06834003635612852,0.1744775456256857,0.0011665821075439453,0.9648985862731934,0.5726474248804152
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.20151623931704307,0.3893900926010755,0.04287923499941826,0.8668639063835144,0.5877744790632278
splice,RealTabPFN-v2.5,2126,1064,3,0.039201000621613906,0.08537116946903879,0.009579641744494438,0.9746240377426147,0.6192876449786127
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.31242852254396514,0.5536534665667636,0.0276040006428957,0.7762711644172668,0.8050865139812231
website_phishing,RealTabPFN-v2.5,902,451,3,0.11133847764455011,0.20390979031454948,0.01878068782389164,0.9290465712547302,0.6822626779321581
MIC,TabICL_GPU,1132,567,8,0.1934933903166221,0.49451781491896624,0.024064434692263603,0.8835979104042053,1.0178599711507559
SDSS17,TabICL_GPU,52035,26018,3,0.038229670638738514,0.07576096402101162,0.0021319969091564417,0.9763625264167786,11.532332201953977
anneal,TabICL_GPU,598,300,5,0.0262301388741754,0.05344726803008654,0.011089678853750229,0.9800000190734863,2.343944577034563
maternal_health_risk,TabICL_GPU,676,338,3,0.1870919289020463,0.3614584603665398,0.033760011196136475,0.8757396340370178,0.5771379750221968
splice,TabICL_GPU,2126,1064,3,0.07457214698949372,0.1439941489660814,0.007762290071696043,0.9501879811286926,0.7593056119512767
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.3241558833362746,0.5741466488098041,0.026587393134832382,0.7647457718849182,0.9103190100286156
website_phishing,TabICL_GPU,902,451,3,0.11090770156402686,0.20451163987068022,0.019491776823997498,0.9268292784690857,0.5888914279639721
MIC,LimiX_GPU,1132,567,8,0.1903405957750622,0.490097214989055,0.026822566986083984,0.8835979104042053,1.0704860659316182
anneal,LimiX_GPU,598,300,5,0.014780695397230691,0.034825084644166684,0.011905335821211338,0.9900000095367432,2.4223085960838944
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06866030502333488,0.17718165757353582,0.001534848241135478,0.9648985862731934,0.6542256998363882
maternal_health_risk,LimiX_GPU,676,338,3,0.18634248350103877,0.36032389420321687,0.04341194033622742,0.8934911489486694,0.4784365331288427
splice,LimiX_GPU,2126,1064,3,0.03346237030102499,0.07885171358701894,0.013572178781032562,0.9830827116966248,0.8485759599134326
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.3203016679211743,0.566499961526051,0.016576386988162994,0.7722033858299255,0.869773532031104
website_phishing,LimiX_GPU,902,451,3,0.11311262222483648,0.21154808664668437,0.030356809496879578,0.9312638640403748,0.549807874020189
MIC,TabM_GPU,1132,567,8,0.1842412610499632,0.46767690451637395,0.02689385414123535,0.8871251940727234,1.0715211208444089
SDSS17,TabM_GPU,52035,26018,3,0.04010020309044073,0.08026673327713654,0.002264399081468582,0.9750557541847229,9.660067080054432
anneal,TabM_GPU,598,300,5,0.013110174125417245,0.038403181491263066,0.007154164835810661,0.9900000095367432,2.5130450101569295
