dataset,model,cal_size,test_size,n_classes,Dirichlet_brier,Dirichlet_logloss,Dirichlet_ece-15,Dirichlet_accuracy,Dirichlet_time
MIC,TabPFN-v2.6,1132,567,8,0.1803283071506788,0.4613711660421384,0.046815142035484314,0.8871251940727234,10.690846813144162
SDSS17,TabPFN-v2.6,52035,26018,3,0.03442165957661916,0.06797121395451762,0.0009342419216409326,0.9789376854896545,10.363540610065684
anneal,TabPFN-v2.6,598,300,5,0.006206414612312598,0.057832159559751094,0.0035277248825877905,0.996666669845581,9.823604963952675
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06834657773837606,0.17427524857119342,0.0004622936248779297,0.9648985862731934,4.494437409099191
maternal_health_risk,TabPFN-v2.6,676,338,3,0.19095136089700715,0.3682222828564459,0.051654137670993805,0.8727810382843018,4.862396863987669
splice,TabPFN-v2.6,2126,1064,3,0.03736826198756835,0.08165518328006943,0.0144302723929286,0.9755638837814331,5.683529276866466
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.3120202801639706,0.5507770251126238,0.03095436654984951,0.7830508351325989,5.105341310845688
website_phishing,TabPFN-v2.6,902,451,3,0.11150051422454847,0.204137924461404,0.023148464038968086,0.9312638640403748,5.058893613051623
MIC,TabICLv2,1132,567,8,0.18342379914642015,0.47733909793112034,0.039918575435876846,0.8871251940727234,0.6362501420080662
SDSS17,TabICLv2,52035,26018,3,0.035407451047775755,0.07147635188121662,0.0014110886259004474,0.9785917401313782,1.8195677949115634
anneal,TabICLv2,598,300,5,0.011363103600310587,0.07538493807772112,0.009249315597116947,0.9933333396911621,0.9757395170163363
hiva_agnostic,TabICLv2,2563,1282,3,0.06820093193189444,0.1734490231195914,0.00134354829788208,0.9648985862731934,0.5883605091366917
maternal_health_risk,TabICLv2,676,338,3,0.1765649775979946,0.3484181655366844,0.039603013545274734,0.8875739574432373,0.42724478896707296
splice,TabICLv2,2126,1064,3,0.03511669093814986,0.07711832243575771,0.017032068222761154,0.981203019618988,0.488568581873551
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.31080361015866353,0.5469007564022159,0.02726634591817856,0.7769491672515869,0.3859951968770474
website_phishing,TabICLv2,902,451,3,0.10858260879123569,0.20001989955465518,0.03229144960641861,0.9334811568260193,0.5076803208794445
MIC,RealTabPFN-v2.5,1132,567,8,0.17965007815810352,0.4557458011097868,0.03823896870017052,0.8906525373458862,0.4854930699802935
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03266039618219821,0.06634074319852844,0.0013616023352369666,0.9803981781005859,1.488700418965891
anneal,RealTabPFN-v2.5,598,300,5,0.005316865189793892,0.039073930972475863,0.004671073984354734,0.996666669845581,1.309321932028979
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06824991734380373,0.17363840032141548,0.0002186894416809082,0.9648985862731934,0.3769910531118512
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.2051805296880895,0.3869739401150711,0.058521296828985214,0.8757396340370178,0.4054957029875368
splice,RealTabPFN-v2.5,2126,1064,3,0.0401983566528108,0.08665689741798373,0.013294931501150131,0.9736841917037964,0.3724476508796215
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.30891289512901415,0.5467895590712512,0.01873418129980564,0.7884745597839355,0.37927419506013393
website_phishing,RealTabPFN-v2.5,902,451,3,0.11590266805619209,0.21000057696631338,0.02886078879237175,0.9290465712547302,0.50456363405101
MIC,TabICL_GPU,1132,567,8,0.19103664349579963,0.49291620056957486,0.03691345825791359,0.8853615522384644,0.5729935769923031
SDSS17,TabICL_GPU,52035,26018,3,0.038152754061958456,0.07554211282583867,0.002451521111652255,0.9766700267791748,1.6881945331115276
anneal,TabICL_GPU,598,300,5,0.02235741540274384,0.07025951288219937,0.010201023891568184,0.9833333492279053,0.9702142339665443
maternal_health_risk,TabICL_GPU,676,338,3,0.18193334346532722,0.363332062636964,0.0457453578710556,0.8757396340370178,0.4274770589545369
splice,TabICL_GPU,2126,1064,3,0.07668584538861448,0.1432022228164447,0.014460746198892593,0.9483082890510559,0.40089394710958004
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.3212924346862297,0.565859938806186,0.026609772816300392,0.7688135504722595,0.4065672049764544
website_phishing,TabICL_GPU,902,451,3,0.11150391522197328,0.20009142012381637,0.024616602808237076,0.9334811568260193,0.546842556912452
MIC,LimiX_GPU,1132,567,8,0.18799225493593535,0.48450428663073275,0.037816956639289856,0.8853615522384644,0.604940946912393
anneal,LimiX_GPU,598,300,5,0.009099852977491085,0.05778588707533841,0.004144203383475542,0.9933333396911621,1.4903954130131751
hiva_agnostic,LimiX_GPU,2563,1282,3,0.06820282745801284,0.17333856848905535,0.0009346604347229004,0.9648985862731934,0.40580483502708375
maternal_health_risk,LimiX_GPU,676,338,3,0.19181817784522165,0.3740286757534921,0.057677991688251495,0.88165682554245,0.4307587151415646
splice,LimiX_GPU,2126,1064,3,0.03792577481800097,0.0826798394606421,0.01441154908388853,0.9774436354637146,0.494512130971998
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.3160438575882776,0.5572094740272018,0.03670632094144821,0.7769491672515869,0.4075365671887994
website_phishing,LimiX_GPU,902,451,3,0.11431157399477059,0.20761870318033068,0.028680764138698578,0.9290465712547302,0.5390989931765944
MIC,TabM_GPU,1132,567,8,0.1803619706188264,0.45244488388853815,0.03963962197303772,0.89241623878479,0.607236668933183
SDSS17,TabM_GPU,52035,26018,3,0.04164044034193503,0.08324930574014615,0.003094304585829377,0.9742870330810547,1.484878906980157
anneal,TabM_GPU,598,300,5,0.008341466968843601,0.0882551004598847,0.00487256795167923,0.996666669845581,1.1813995530828834
hiva_agnostic,TabM_GPU,2563,1282,3,0.0682676482685549,0.17384554902745986,0.0002824068069458008,0.9648985862731934,0.31349883298389614
maternal_health_risk,TabM_GPU,676,338,3,0.26445130014838214,0.47745164192043255,0.07361659407615662,0.831360936164856,0.5287278129253536
splice,TabM_GPU,2126,1064,3,0.04308045758729927,0.09427340091191905,0.015235497616231441,0.9736841917037964,0.4018226689659059
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.31819421135710285,0.56315207147507,0.027208885177969933,0.7735593318939209,0.31635419209487736
website_phishing,TabM_GPU,902,451,3,0.12095807450028809,0.22161656128860288,0.031329527497291565,0.9312638640403748,0.5507773850113153
MIC,RealMLP_GPU,1132,567,8,0.1812408281282924,0.4551974445768233,0.029971979558467865,0.8888888955116272,0.6004273330327123
SDSS17,RealMLP_GPU,52035,26018,3,0.042795379472440116,0.08639640346802678,0.002090247580781579,0.9739411473274231,1.4856107260566205
anneal,RealMLP_GPU,598,300,5,0.01704244129139552,0.11856651464080796,0.010928083211183548,0.9900000095367432,1.5955257008317858
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.0684037055492198,0.17526377395256035,0.0023802448995411396,0.9648985862731934,0.406036586035043
maternal_health_risk,RealMLP_GPU,676,338,3,0.21137676987809514,0.4021624366104707,0.08012016117572784,0.88165682554245,0.43183280108496547
splice,RealMLP_GPU,2126,1064,3,0.04025818535183612,0.08798696296062411,0.01573481597006321,0.9746240377426147,0.4973034830763936
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.31576728180449193,0.5599540079642475,0.025320516899228096,0.7816948890686035,0.4108837889507413
website_phishing,RealMLP_GPU,902,451,3,0.11712946474218404,0.20878136219705978,0.045208223164081573,0.9290465712547302,0.5519777559675276
MIC,BetaTabPFN_GPU,1132,567,8,0.18073907167889988,0.45089172675387795,0.04480472579598427,0.8871251940727234,0.6043191871140152
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.048285231293403896,0.09696698023227918,0.0037453423719853163,0.9710200428962708,1.2283086401876062
anneal,BetaTabPFN_GPU,598,300,5,0.016548491990988744,0.17609803929164228,0.0071395328268408775,0.9900000095367432,1.5158671259414405
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.06826140876247028,0.17375941180401666,0.0009338259696960449,0.9648985862731934,0.4089233800768852
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.28377309596207345,0.5006220121610803,0.08749483525753021,0.8284023404121399,0.5209016771987081
splice,BetaTabPFN_GPU,2126,1064,3,0.04084169924322175,0.08754594792601775,0.022786729037761688,0.9736841917037964,0.37624921184033155
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.3198370847116259,0.5679032550638592,0.031934890896081924,0.7749152779579163,0.38152113487012684
website_phishing,BetaTabPFN_GPU,902,451,3,0.12922822073019763,0.2303906234684686,0.03027029149234295,0.9179601073265076,0.5107094561681151
MIC,ModernNCA_GPU,1132,567,8,0.1820280223413818,0.4538353247438044,0.04184283688664436,0.8888888955116272,1.3334154591429979
SDSS17,ModernNCA_GPU,52035,26018,3,0.03855606228657174,0.07632279150549183,0.004144384525716305,0.9760550260543823,1.6675872039049864
anneal,ModernNCA_GPU,598,300,5,0.007367622451976869,0.13866623837707642,0.004485973622649908,0.996666669845581,1.4968527050223202
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06864049389514988,0.17692341626942515,0.006397486664354801,0.9648985862731934,0.37819020403549075
maternal_health_risk,ModernNCA_GPU,676,338,3,0.21382084524965267,0.39890448111855087,0.04210873320698738,0.8639053106307983,0.39815257815644145
splice,ModernNCA_GPU,2126,1064,3,0.04953040772486267,0.10861658967417503,0.03476440906524658,0.9755638837814331,0.38122796989046037
students_dropout_and_academic_success,ModernNCA_GPU,2949,1475,3,0.32280752659118706,0.5715544283328442,0.028616365045309067,0.7769491672515869,0.2984597731847316
website_phishing,ModernNCA_GPU,902,451,3,0.12762567510656866,0.22702802941460817,0.02892198972404003,0.9246119856834412,0.5191424419172108
MIC,Mitra_GPU,1132,567,8,0.1823949299283457,0.4633455734519539,0.04195491224527359,0.8871251940727234,0.6057619201019406
anneal,Mitra_GPU,598,300,5,0.008588786759119582,0.06563702346932425,0.004392072092741728,0.996666669845581,1.1957148059736937
maternal_health_risk,Mitra_GPU,676,338,3,0.1959586036087698,0.3837806067855604,0.06395777314901352,0.8875739574432373,0.43773864512331784
splice,Mitra_GPU,2126,1064,3,0.04241279468326136,0.09048489076965778,0.02045639045536518,0.972744345664978,0.4085704190656543
students_dropout_and_academic_success,Mitra_GPU,2949,1475,3,0.3130391817196955,0.5548647801765929,0.02485102415084839,0.7722033858299255,0.33225412014871836
website_phishing,Mitra_GPU,902,451,3,0.11781675094279719,0.21546902496260403,0.03711404278874397,0.9312638640403748,0.45535418717190623
MIC,TabDPT_GPU,1132,567,8,0.19019915569818915,0.4880685435481687,0.02881152741611004,0.8853615522384644,0.6171164859551936
SDSS17,TabDPT_GPU,52035,26018,3,0.04055397477895946,0.0818491833511813,0.0020219930447638035,0.9751710295677185,1.0278927718754858
anneal,TabDPT_GPU,598,300,5,0.01340228646021209,0.1958341318090361,0.0048589459620416164,0.9933333396911621,1.4039896819740534
hiva_agnostic,TabDPT_GPU,2563,1282,3,0.06835335296837636,0.17426623171820324,0.00045561519800685346,0.9648985862731934,0.4154157929588109
maternal_health_risk,TabDPT_GPU,676,338,3,0.17903092303800897,0.3468082991248731,0.03682180121541023,0.8846153616905212,0.44543393491767347
splice,TabDPT_GPU,2126,1064,3,0.09934389272616877,0.17952788781534412,0.01154660526663065,0.9351503849029541,0.41061414289288223
students_dropout_and_academic_success,TabDPT_GPU,2949,1475,3,0.3234690041215281,0.5700058805312352,0.014120968990027905,0.7633898258209229,0.32253941404633224
website_phishing,TabDPT_GPU,902,451,3,0.11565112327066258,0.20687628739446992,0.031176604330539703,0.9312638640403748,0.8539522718638182
