dataset,model,cal_size,test_size,n_classes,Hist-uniform_brier,Hist-uniform_logloss,Hist-uniform_ece-15,Hist-uniform_accuracy,Hist-uniform_time
MIC,TabPFN-v2.6,1132,567,8,0.18610177622291074,0.6185324741573094,0.041571084409952164,0.8906525373458862,0.006177538074553013
SDSS17,TabPFN-v2.6,52035,26018,3,0.034959334054206155,0.0794159369853232,0.0018355792853981256,0.9789376854896545,0.01961283409036696
anneal,TabPFN-v2.6,598,300,5,0.006660833724126525,0.2319308133914069,0.0016550421714782715,0.996666669845581,0.0027657148893922567
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06826662385990165,0.17381210893563934,1.3589859008789062e-05,0.9648985862731934,0.0024529360234737396
maternal_health_risk,TabPFN-v2.6,676,338,3,0.19235590975305622,0.3917939943047893,0.0340474508702755,0.8757396340370178,0.0016948829870671034
splice,TabPFN-v2.6,2126,1064,3,0.03482780611743489,0.0797761675435144,0.013924327678978443,0.9802631735801697,0.002123035956174135
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.3130756948631161,0.5595626864704714,0.014805437996983528,0.7796609997749329,0.0025616157799959183
website_phishing,TabPFN-v2.6,902,451,3,0.11030280484349067,0.34871024262551886,0.023415375500917435,0.9312638640403748,0.0017581610009074211
MIC,TabICLv2,1132,567,8,0.1907237186689467,0.8599318023238431,0.05279088392853737,0.8888888955116272,0.004114049952477217
SDSS17,TabICLv2,52035,26018,3,0.036259427192446694,0.08204074893055707,0.001029989100061357,0.9781305193901062,0.016077734995633364
anneal,TabICLv2,598,300,5,0.02231707600764643,0.25654940413222,0.010245348326861858,0.9866666793823242,0.002516743028536439
hiva_agnostic,TabICLv2,2563,1282,3,0.06826497010414859,0.17378711554458615,1.990795135498047e-05,0.9648985862731934,0.002211275976151228
maternal_health_risk,TabICLv2,676,338,3,0.1827371416059247,0.5534302914090348,0.048897407948970795,0.8846153616905212,0.0016779119614511728
splice,TabICLv2,2126,1064,3,0.03301185802357508,0.07499095701983652,0.010711860843002796,0.9793233275413513,0.002156099071726203
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.31522666800907756,0.5708087375040617,0.02747589722275734,0.7823728919029236,0.0024519050493836403
website_phishing,TabICLv2,902,451,3,0.10960648991476071,0.2085559418533671,0.016098234802484512,0.9312638640403748,0.0017638970166444778
