dataset,model,cal_size,test_size,n_classes,Kernel_brier,Kernel_logloss,Kernel_ece-15,Kernel_accuracy,Kernel_time
MIC,TabPFN-v2.6,1132,567,8,0.20431125164031982,0.5403465628623962,0.07252974808216095,0.8853615522384644,0.33573294593952596
SDSS17,TabPFN-v2.6,52035,26018,3,0.03634127974510193,0.07832927256822586,0.010003067553043365,0.9787070751190186,29.144009727053344
anneal,TabPFN-v2.6,598,300,5,0.006724977400153875,0.0610334649682045,0.0029519861564040184,0.996666669845581,0.020581772085279226
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06826755404472351,0.17381586134433746,0.0007852315902709961,0.9648985862731934,0.1954760041553527
maternal_health_risk,TabPFN-v2.6,676,338,3,0.18476340174674988,0.3619772791862488,0.03151803836226463,0.8727810382843018,0.013168886071071029
splice,TabPFN-v2.6,2126,1064,3,0.03710123524069786,0.08003423362970352,0.009148620069026947,0.9774436354637146,0.21265700203366578
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.31293636560440063,0.5586928129196167,0.03390413150191307,0.7830508351325989,0.3026703931391239
website_phishing,TabPFN-v2.6,902,451,3,0.11220868676900864,0.2245071679353714,0.023016121238470078,0.9334811568260193,0.026726752053946257
MIC,TabICLv2,1132,567,8,0.20823681354522705,0.5488114356994629,0.07768198847770691,0.8835979104042053,0.1225779140368104
SDSS17,TabICLv2,52035,26018,3,0.03695179149508476,0.08086950331926346,0.009711961261928082,0.978553295135498,29.399455062113702
anneal,TabICLv2,598,300,5,0.01777631789445877,0.11976554989814758,0.008112790063023567,0.9866666793823242,0.020440723979845643
hiva_agnostic,TabICLv2,2563,1282,3,0.06827147305011749,0.17384696006774902,0.001955687999725342,0.9648985862731934,0.19271915405988693
maternal_health_risk,TabICLv2,676,338,3,0.17731785774230957,0.3662756681442261,0.029070906341075897,0.8875739574432373,0.01446291501633823
splice,TabICLv2,2126,1064,3,0.034302305430173874,0.07962632924318314,0.007189889904111624,0.981203019618988,0.22211836790665984
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.31196221709251404,0.5589553117752075,0.02944469079375267,0.7830508351325989,0.3036543990019709
website_phishing,TabICLv2,902,451,3,0.1079459860920906,0.21454878151416779,0.026455216109752655,0.9379157423973083,0.026992294937372208
MIC,RealTabPFN-v2.5,1132,567,8,0.2005726844072342,0.5322101712226868,0.0732952430844307,0.8871251940727234,0.11915467982180417
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.033577028661966324,0.07331399619579315,0.008382776752114296,0.9802444577217102,29.5055731870234
anneal,RealTabPFN-v2.5,598,300,5,0.0066596209071576595,0.10853730887174606,0.0018956661224365234,0.996666669845581,0.019995880080386996
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.0682666227221489,0.17381195724010468,5.620718002319336e-05,0.9648985862731934,0.19219946907833219
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.19939252734184265,0.3912919759750366,0.04678263142704964,0.8698225021362305,0.013428468955680728
splice,RealTabPFN-v2.5,2126,1064,3,0.04084201529622078,0.08779784291982651,0.010682795196771622,0.9736841917037964,0.20270311296917498
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.30913788080215454,0.552997350692749,0.03002341277897358,0.783728837966919,0.2982689149212092
