dataset,model,cal_size,test_size,n_classes,TS_brier,TS_logloss,TS_ece-15,TS_accuracy,TS_time
MIC,TabPFN-v2.6,1132,567,8,0.1790030300617218,0.4478168785572052,0.042794935405254364,0.8871251940727234,0.06185828801244497
SDSS17,TabPFN-v2.6,52035,26018,3,0.03442066162824631,0.06764781475067139,0.0006261359667405486,0.9789376854896545,0.17595544992946088
anneal,TabPFN-v2.6,598,300,5,0.007101690862327814,0.027274239808321,0.0036529903300106525,0.996666669845581,0.0055457421112805605
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06839258968830109,0.17513911426067352,0.00030739279463887215,0.9648985862731934,0.011314993957057595
maternal_health_risk,TabPFN-v2.6,676,338,3,0.19107095897197723,0.36950016021728516,0.05018401890993118,0.88165682554245,0.0050748048815876245
splice,TabPFN-v2.6,2126,1064,3,0.03692123293876648,0.08066969364881516,0.013418767601251602,0.9765037298202515,0.009813335025683045
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.3114096522331238,0.549698531627655,0.024505093693733215,0.7810169458389282,0.012459150049835443
website_phishing,TabPFN-v2.6,902,451,3,0.11308639496564865,0.20519158244132996,0.021006891503930092,0.9312638640403748,0.005784425185993314
MIC,TabICLv2,1132,567,8,0.18189002573490143,0.4608210325241089,0.03162969648838043,0.89241623878479,0.009859126061201096
SDSS17,TabICLv2,52035,26018,3,0.03537248820066452,0.07112956792116165,0.001289442996494472,0.9784764647483826,0.17546904110349715
anneal,TabICLv2,598,300,5,0.013251536525785923,0.03312994912266731,0.0066583044826984406,0.9933333396911621,0.005551222013309598
hiva_agnostic,TabICLv2,2563,1282,3,0.06923173367977142,0.18030060827732086,0.006806512828916311,0.9648985862731934,0.01129665202461183
maternal_health_risk,TabICLv2,676,338,3,0.17922358214855194,0.35404127836227417,0.04066484421491623,0.8875739574432373,0.005048565100878477
splice,TabICLv2,2126,1064,3,0.034959178417921066,0.07668008655309677,0.01578175090253353,0.981203019618988,0.009875718038529158
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3105835020542145,0.546513020992279,0.02059350162744522,0.7803390026092529,0.012595380889251828
website_phishing,TabICLv2,902,451,3,0.1104516014456749,0.2027120143175125,0.020990189164876938,0.9312638640403748,0.005823749117553234
MIC,RealTabPFN-v2.5,1132,567,8,0.17873206734657288,0.4460069239139557,0.027689438313245773,0.8888888955116272,0.009942909004166722
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.033074960112571716,0.0667128786444664,0.001772328861989081,0.9798600673675537,0.1743763550184667
anneal,RealTabPFN-v2.5,598,300,5,0.007249334827065468,0.020868174731731415,0.006034844554960728,0.996666669845581,0.005516945151612163
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06841527670621872,0.1752193123102188,0.001416921615600586,0.9648985862731934,0.011261773994192481
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.2049035131931305,0.3850522041320801,0.0796394944190979,0.8727810382843018,0.00504728895612061
splice,RealTabPFN-v2.5,2126,1064,3,0.04008537530899048,0.08644194155931473,0.013576670549809933,0.9736841917037964,0.009793353034183383
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.30800798535346985,0.5450946092605591,0.020340127870440483,0.7877966165542603,0.012466721935197711
website_phishing,RealTabPFN-v2.5,902,451,3,0.11595215648412704,0.20882613956928253,0.026170963421463966,0.9268292784690857,0.005765384063124657
MIC,TabICL_GPU,1132,567,8,0.19000594317913055,0.47801679372787476,0.03558886796236038,0.8853615522384644,0.009851272217929363
SDSS17,TabICL_GPU,52035,26018,3,0.03839373588562012,0.07572536170482635,0.0024777082726359367,0.9765162467956543,0.17532656388357282
anneal,TabICL_GPU,598,300,5,0.019432397559285164,0.043036360293626785,0.014808181673288345,0.9866666793823242,0.0055635240860283375
maternal_health_risk,TabICL_GPU,676,338,3,0.1833636313676834,0.3631710112094879,0.03915945813059807,0.8875739574432373,0.005074287997558713
splice,TabICL_GPU,2126,1064,3,0.07577421516180038,0.14198610186576843,0.014192013069987297,0.9501879811286926,0.009857594035565853
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.3204493522644043,0.5647484064102173,0.02054128237068653,0.7667796611785889,0.012812303146347404
website_phishing,TabICL_GPU,902,451,3,0.1141960471868515,0.2045350819826126,0.02165587618947029,0.9312638640403748,0.005789618939161301
MIC,LimiX_GPU,1132,567,8,0.1855303794145584,0.4738055169582367,0.04275462031364441,0.8871251940727234,0.009765604045242071
anneal,LimiX_GPU,598,300,5,0.007068471983075142,0.019528815522789955,0.003522828221321106,0.996666669845581,0.005643418990075588
hiva_agnostic,LimiX_GPU,2563,1282,3,0.0683659091591835,0.17401570081710815,0.0012384511064738035,0.9648985862731934,0.011300197103992105
maternal_health_risk,LimiX_GPU,676,338,3,0.19181933999061584,0.3805994391441345,0.061835214495658875,0.8934911489486694,0.005070782033726573
splice,LimiX_GPU,2126,1064,3,0.037664130330085754,0.08279172331094742,0.016648951917886734,0.9802631735801697,0.009817078011110425
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.31480151414871216,0.5550111532211304,0.029250528663396835,0.7776271104812622,0.012551476946100593
website_phishing,LimiX_GPU,902,451,3,0.11869724094867706,0.21615289151668549,0.02115199901163578,0.9268292784690857,0.005765208043158054
MIC,TabM_GPU,1132,567,8,0.17978772521018982,0.44711658358573914,0.02619911916553974,0.8906525373458862,0.00985307595692575
