dataset,model,cal_size,test_size,n_classes,XGBoost_brier,XGBoost_logloss,XGBoost_ece-15,XGBoost_accuracy,XGBoost_time
MIC,TabPFN-v2.6,1132,567,8,0.18258486688137054,0.48805999755859375,0.03493552282452583,0.8871251940727234,0.11568082612939179
SDSS17,TabPFN-v2.6,52035,26018,3,0.035612381994724274,0.09159300476312637,0.02683454379439354,0.9788223505020142,0.43047219701111317
anneal,TabPFN-v2.6,598,300,5,0.008416358381509781,0.04083114117383957,0.02775546908378601,0.996666669845581,0.050972463097423315
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06886210292577744,0.17858688533306122,0.005913783796131611,0.9648985862731934,0.047145494958385825
maternal_health_risk,TabPFN-v2.6,676,338,3,0.19536429643630981,0.377183198928833,0.06352010369300842,0.8698225021362305,0.03353907191194594
splice,TabPFN-v2.6,2126,1064,3,0.03721804544329643,0.10179803520441055,0.04581506922841072,0.9802631735801697,0.04452667501755059
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.31638163328170776,0.5684704780578613,0.03238359093666077,0.7796609997749329,0.05314580607227981
website_phishing,TabPFN-v2.6,902,451,3,0.11294695734977722,0.21507522463798523,0.03747672215104103,0.9268292784690857,0.03473670803941786
MIC,TabICLv2,1132,567,8,0.1906183511018753,0.49809834361076355,0.045512158423662186,0.8835979104042053,0.09520519408397377
SDSS17,TabICLv2,52035,26018,3,0.036791328340768814,0.09437547624111176,0.027563245967030525,0.9783226847648621,0.41660300199873745
anneal,TabICLv2,598,300,5,0.0233458224684,0.0713934674859047,0.022322433069348335,0.9900000095367432,0.0432317741215229
hiva_agnostic,TabICLv2,2563,1282,3,0.06895850598812103,0.18017353117465973,0.004313020035624504,0.9648985862731934,0.04807547712698579
maternal_health_risk,TabICLv2,676,338,3,0.18638065457344055,0.3582846522331238,0.0518568754196167,0.88165682554245,0.03408803092315793
splice,TabICLv2,2126,1064,3,0.03760780394077301,0.10268519073724747,0.04645503684878349,0.9774436354637146,0.045286165084689856
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3140312135219574,0.5628641247749329,0.0387212298810482,0.7857627272605896,0.05381244607269764
website_phishing,TabICLv2,902,451,3,0.11253614723682404,0.21684415638446808,0.04888976365327835,0.9379157423973083,0.0365162359084934
MIC,RealTabPFN-v2.5,1132,567,8,0.18331848084926605,0.479897677898407,0.03303748369216919,0.8888888955116272,0.09586532204411924
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03358450159430504,0.08907458931207657,0.027501605451107025,0.9802060127258301,0.40984675800427794
anneal,RealTabPFN-v2.5,598,300,5,0.01168129500001669,0.04629427194595337,0.03163553401827812,0.9933333396911621,0.04115282208658755
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06872459501028061,0.17727841436862946,0.005808905232697725,0.9648985862731934,0.046850190963596106
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.21364423632621765,0.4066930413246155,0.07038886100053787,0.8668639063835144,0.033985745161771774
splice,RealTabPFN-v2.5,2126,1064,3,0.04298883303999901,0.10989242792129517,0.0405539944767952,0.9746240377426147,0.044882283080369234
students_dropout_and_academic_success,RealTabPFN-v2.5,2949,1475,3,0.31275901198387146,0.5617477893829346,0.031980644911527634,0.7803390026092529,0.0534049600828439
website_phishing,RealTabPFN-v2.5,902,451,3,0.11634040623903275,0.22089938819408417,0.04279787465929985,0.9246119856834412,0.03467846382409334
MIC,TabICL_GPU,1132,567,8,0.19650164246559143,0.519905149936676,0.031225137412548065,0.8818342089653015,0.09637622209265828
SDSS17,TabICL_GPU,52035,26018,3,0.03955090790987015,0.09876732528209686,0.02763396129012108,0.9765931367874146,0.4358555779326707
anneal,TabICL_GPU,598,300,5,0.031629528850317,0.0830184817314148,0.03508749231696129,0.9833333492279053,0.0513537039514631
maternal_health_risk,TabICL_GPU,676,338,3,0.18683986365795135,0.3615390956401825,0.056068193167448044,0.88165682554245,0.03966179583221674
splice,TabICL_GPU,2126,1064,3,0.07762935012578964,0.1649729460477829,0.03706509619951248,0.951127827167511,0.05251831887289882
students_dropout_and_academic_success,TabICL_GPU,2949,1475,3,0.325716495513916,0.5827057957649231,0.023907335475087166,0.7654237151145935,0.06222935114055872
website_phishing,TabICL_GPU,902,451,3,0.11761002987623215,0.22131411731243134,0.044790416955947876,0.9290465712547302,0.03981736791320145
MIC,LimiX_GPU,1132,567,8,0.19010905921459198,0.5001165866851807,0.046479273587465286,0.8871251940727234,0.11815184098668396
anneal,LimiX_GPU,598,300,5,0.011425656266510487,0.04499852657318115,0.026646524667739868,0.9933333396911621,0.04993754695169628
hiva_agnostic,LimiX_GPU,2563,1282,3,0.0690535381436348,0.18028022348880768,0.004403963685035706,0.9648985862731934,0.05582639807835221
maternal_health_risk,LimiX_GPU,676,338,3,0.1928977221250534,0.376049667596817,0.06718706339597702,0.8875739574432373,0.03896045289002359
splice,LimiX_GPU,2126,1064,3,0.03800147399306297,0.10488978028297424,0.04499141871929169,0.9821428656578064,0.051032195100560784
students_dropout_and_academic_success,LimiX_GPU,2949,1475,3,0.3212054967880249,0.5751728415489197,0.032239194959402084,0.7735593318939209,0.06195467687211931
website_phishing,LimiX_GPU,902,451,3,0.12046240270137787,0.2278391569852829,0.04944069683551788,0.9312638640403748,0.041431688936427236
MIC,TabM_GPU,1132,567,8,0.1820928156375885,0.4817861318588257,0.02250947244465351,0.8888888955116272,0.11491535906679928
SDSS17,TabM_GPU,52035,26018,3,0.04165910184383392,0.10440018028020859,0.028149472549557686,0.9747098088264465,0.4461065100040287
anneal,TabM_GPU,598,300,5,0.01620960235595703,0.057473074644804,0.026674523949623108,0.9900000095367432,0.04023157712072134
hiva_agnostic,TabM_GPU,2563,1282,3,0.06877486407756805,0.18031732738018036,0.00760459341108799,0.9648985862731934,0.0477120908908546
maternal_health_risk,TabM_GPU,676,338,3,0.29495903849601746,0.5213934779167175,0.0750657394528389,0.7928994297981262,0.034433458000421524
splice,TabM_GPU,2126,1064,3,0.04452059045433998,0.11231563985347748,0.03917258232831955,0.9736841917037964,0.04459377913735807
students_dropout_and_academic_success,TabM_GPU,2949,1475,3,0.32149240374565125,0.5770308375358582,0.028546234592795372,0.7701694965362549,0.05388814001344144
website_phishing,TabM_GPU,902,451,3,0.12310473620891571,0.23049534857273102,0.04217837378382683,0.9090909361839294,0.03498351899906993
MIC,RealMLP_GPU,1132,567,8,0.1857396960258484,0.47541892528533936,0.03442152589559555,0.8853615522384644,0.1015090208966285
SDSS17,RealMLP_GPU,52035,26018,3,0.04397674649953842,0.1087225154042244,0.02705841138958931,0.9744023084640503,0.4074876809027046
anneal,RealMLP_GPU,598,300,5,0.02362021990120411,0.07204598933458328,0.02425030991435051,0.9866666793823242,0.036041590850800276
hiva_agnostic,RealMLP_GPU,2563,1282,3,0.06840381771326065,0.17465993762016296,0.00316213583573699,0.9648985862731934,0.04731448902748525
maternal_health_risk,RealMLP_GPU,676,338,3,0.22673143446445465,0.4222472608089447,0.09944003075361252,0.860946774482727,0.03452246217057109
splice,RealMLP_GPU,2126,1064,3,0.0411827377974987,0.10719188302755356,0.04187730327248573,0.9765037298202515,0.04462120891548693
students_dropout_and_academic_success,RealMLP_GPU,2949,1475,3,0.3184192180633545,0.5711816549301147,0.029838083311915398,0.7789830565452576,0.05423095216974616
website_phishing,RealMLP_GPU,902,451,3,0.1237395778298378,0.23065900802612305,0.03648993372917175,0.9201774001121521,0.03501247800886631
MIC,BetaTabPFN_GPU,1132,567,8,0.18441051244735718,0.49172547459602356,0.026442861184477806,0.8853615522384644,0.09520134516060352
SDSS17,BetaTabPFN_GPU,52035,26018,3,0.04906950518488884,0.11822863668203354,0.02863183245062828,0.9714812636375427,0.4163297060877085
anneal,BetaTabPFN_GPU,598,300,5,0.01665426231920719,0.06231848523020744,0.03147106617689133,0.9900000095367432,0.04281005193479359
hiva_agnostic,BetaTabPFN_GPU,2563,1282,3,0.0685078576207161,0.17611172795295715,0.0022352933883666992,0.9648985862731934,0.046583926072344184
maternal_health_risk,BetaTabPFN_GPU,676,338,3,0.29837754368782043,0.520773708820343,0.08110608905553818,0.8047337532043457,0.03450758592225611
splice,BetaTabPFN_GPU,2126,1064,3,0.04325717315077782,0.1112741157412529,0.03939679637551308,0.9746240377426147,0.04526665899902582
students_dropout_and_academic_success,BetaTabPFN_GPU,2949,1475,3,0.32204872369766235,0.5787473917007446,0.033411264419555664,0.7640677690505981,0.05352350906468928
website_phishing,BetaTabPFN_GPU,902,451,3,0.12836198508739471,0.23962555825710297,0.04180540889501572,0.9246119856834412,0.034929518122226
MIC,ModernNCA_GPU,1132,567,8,0.18457163870334625,0.4787060022354126,0.04306114837527275,0.89241623878479,0.09953529387712479
SDSS17,ModernNCA_GPU,52035,26018,3,0.03955915570259094,0.09919452667236328,0.02912440523505211,0.9765162467956543,0.4143817191943526
anneal,ModernNCA_GPU,598,300,5,0.016103645786643028,0.054833900183439255,0.02740815095603466,0.9900000095367432,0.03766655805520713
hiva_agnostic,ModernNCA_GPU,2563,1282,3,0.06857240945100784,0.17614006996154785,0.0060203527100384235,0.9648985862731934,0.047686131903901696
maternal_health_risk,ModernNCA_GPU,676,338,3,0.22948527336120605,0.4180023968219757,0.04435756057500839,0.8461538553237915,0.03488991898484528
splice,ModernNCA_GPU,2126,1064,3,0.045954834669828415,0.11964273452758789,0.055305950343608856,0.9755638837814331,0.045547283021733165
