dataset,model,cal_size,test_size,Beta_brier,Beta_logloss,Beta_kuiper,Beta_ece-15,Beta_accuracy,Beta_time
2dplanes,CatBoost,36691,4077,0.09566957607387457,0.15233834610323885,0.006416452117264271,0.012922754511237144,0.9266617894172668,0.02226925315335393
2dplanes,ExtraTrees,36691,4077,0.09491935638410402,0.15237400627157638,0.006126537919044495,0.008288771845400333,0.9254353642463684,0.02180716907605529
2dplanes,LightGBM,36691,4077,0.09542602388421176,0.15329471831807978,0.006167630665004253,0.011594302952289581,0.9298503994941711,0.018739575054496527
2dplanes,LinearModel,36691,4077,0.23363359000054953,0.36681901130858546,0.011860853992402554,0.025279656052589417,0.8413048982620239,0.022328868974000216
2dplanes,NeuralNetFastAI,36691,4077,0.09425774683182414,0.15072883096133866,0.004253918770700693,0.008502358570694923,0.9332842826843262,0.016434510005638003
2dplanes,NeuralNetTorch,36691,4077,0.09469089284103119,0.1521229761682132,0.005054463166743517,0.007687927223742008,0.931812584400177,0.02203988190740347
2dplanes,RandomForest,36691,4077,0.09546832589500773,0.15392753081168684,0.005241659004241228,0.01397399790585041,0.9271523356437683,0.02163687814027071
2dplanes,XGBoost,36691,4077,0.09558715337875694,0.15293009823025588,0.006140487268567085,0.014145289547741413,0.9276428818702698,0.01735189789906144
APSFailure,CatBoost,68400,7600,0.007753435307765341,0.015202719507660424,0.0009612557478249073,0.002233875449746847,0.9948683977127075,0.03896803199313581
APSFailure,ExtraTrees,68400,7600,0.009131312139289133,0.017935016890584646,0.0012730625458061695,0.002354792319238186,0.9940789341926575,0.0559948249720037
APSFailure,LightGBM,68400,7600,0.007700738153267137,0.015204066592276664,0.0006685880944132805,0.0016511097783222795,0.995394766330719,0.0482054241001606
APSFailure,LinearModel,68400,7600,0.0115348291270816,0.021836187839658298,0.0013487502001225948,0.003805045736953616,0.99289470911026,0.04600879899226129
APSFailure,NeuralNetFastAI,68400,7600,0.00929775045795764,0.0172014408559671,0.001440665451809764,0.0029206855688244104,0.9947368502616882,0.048361566849052906
APSFailure,NeuralNetTorch,68400,7600,0.010864150134845318,0.020935257509666776,0.0018988177180290222,0.003731626784428954,0.9930263161659241,0.03345515881665051
