dataset,model,cal_size,test_size,Quadratic_brier,Quadratic_logloss,Quadratic_kuiper,Quadratic_ece-15,Quadratic_accuracy,Quadratic_time
2dplanes,CatBoost,36691,4077,0.09566527910005172,0.1523340690876544,0.006405113730579615,0.012893262319266796,0.9266617894172668,0.025604143971577287
2dplanes,ExtraTrees,36691,4077,0.09492398521414915,0.15251597426142618,0.006259171292185783,0.009755506180226803,0.9256806373596191,0.13352923188358545
2dplanes,LightGBM,36691,4077,0.09542841890212782,0.15328950304942648,0.0061273155733942986,0.011566750705242157,0.9298503994941711,0.01943279104307294
2dplanes,LinearModel,36691,4077,0.23364466513682827,0.36683152448169487,0.011979317292571068,0.02517130598425865,0.8410596251487732,0.022822119994089007
2dplanes,NeuralNetFastAI,36691,4077,0.09425646191467074,0.1507144448372332,0.004203156102448702,0.008672005496919155,0.9330390095710754,0.05655930913053453
2dplanes,NeuralNetTorch,36691,4077,0.09469047315916991,0.15212876855721968,0.005045017227530479,0.008033459074795246,0.9315673112869263,0.05313521111384034
2dplanes,RandomForest,36691,4077,0.09548553830039672,0.15410877338174392,0.005518120247870684,0.014411915093660355,0.9269070625305176,0.09727478120476007
2dplanes,XGBoost,36691,4077,0.09558732840592084,0.1529235404602186,0.006134346127510071,0.014301789924502373,0.9276428818702698,0.017774286912754178
APSFailure,CatBoost,68400,7600,0.007761673096358784,0.015222348441923631,0.000924941967241466,0.0023854279424995184,0.9948683977127075,0.10085927392356098
APSFailure,ExtraTrees,68400,7600,0.00930227946270615,0.018289959218764446,0.0012514959089457989,0.0029324025381356478,0.9943420886993408,0.1939380830153823
APSFailure,LightGBM,68400,7600,0.007724283333619762,0.01527021763834372,0.0007160180248320103,0.001966311829164624,0.995394766330719,0.0724639561958611
APSFailure,LinearModel,68400,7600,0.011553998929587275,0.021876148142792238,0.001561762997880578,0.0030470998026430607,0.9930263161659241,0.09974785102531314
APSFailure,NeuralNetFastAI,68400,7600,0.009216042149901208,0.017045400400732175,0.0012875935062766075,0.002501137088984251,0.9940789341926575,0.16598386503756046
