dataset,model,cal_size,test_size,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_kuiper,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
2dplanes,CatBoost,36691,4077,0.09472304693154132,0.1509491228603295,0.008254623971879482,0.009832991287112236,0.9261711835861206,2.281499841948971
2dplanes,ExtraTrees,36691,4077,0.09439973431597753,0.15152360735102183,0.013113850727677345,0.004921854007989168,0.9261711835861206,1.2958495749626309
2dplanes,LightGBM,36691,4077,0.09436177793093739,0.15125384853172513,0.01145679410547018,0.005131757352501154,0.9271523356437683,2.4063314411323518
2dplanes,LinearModel,36691,4077,0.23019879468918694,0.3591561238302883,0.00904352031648159,0.013476315885782242,0.843021810054779,0.9077363030519336
2dplanes,NeuralNetFastAI,36691,4077,0.09404040036449283,0.15035096498764774,0.007292996626347303,0.004453048575669527,0.9305862188339233,1.684048357885331
2dplanes,NeuralNetTorch,36691,4077,0.09438527643496943,0.15152574267729055,0.0036208354867994785,0.00679238373413682,0.9315673112869263,1.6281636741477996
2dplanes,RandomForest,36691,4077,0.0943169880691854,0.15242272379439428,0.012777542695403099,0.005499416962265968,0.9308314919471741,0.39170639403164387
2dplanes,XGBoost,36691,4077,0.09423636100500422,0.15088882174318696,0.009630661457777023,0.005791922099888325,0.927397608757019,1.9543699051719159
APSFailure,CatBoost,68400,7600,0.007810232704919053,0.015501502191227914,0.0009089382365345955,0.0023089763708412647,0.9952631592750549,4.497413564939052
APSFailure,ExtraTrees,68400,7600,0.009241396722607086,0.017749784280245078,0.0011420762166380882,0.00204025418497622,0.9940789341926575,0.12496678484603763
APSFailure,LightGBM,68400,7600,0.0077042475837098634,0.015308188753762749,0.0008921114495024085,0.002151300897821784,0.995394766330719,5.357523225946352
APSFailure,LinearModel,68400,7600,0.011594066685277068,0.02219846577568342,0.0013619340024888515,0.0026237403508275747,0.9930263161659241,2.935734625905752
APSFailure,NeuralNetFastAI,68400,7600,0.009163204821036367,0.01734007018557524,0.00125392887275666,0.003308139508590102,0.9943420886993408,2.0840764748863876
APSFailure,NeuralNetTorch,68400,7600,0.01120880229935305,0.021676650848564006,0.0023300161119550467,0.004579028580337763,0.9932894706726074,8.124223358929157
APSFailure,RandomForest,68400,7600,0.0079524436022768,0.0161050760284215,0.001262704492546618,0.0021422449499368668,0.9948683977127075,0.027794326888397336
APSFailure,XGBoost,68400,7600,0.007522380614160971,0.014848353316009016,0.0008542339783161879,0.0025289952754974365,0.995394766330719,1.9629576138686389
Amazon_employee_access,CatBoost,29492,3277,0.07235156450670856,0.13411957955623652,0.00423286110162735,0.011450055986642838,0.9527006149291992,0.28374439501203597
Amazon_employee_access,ExtraTrees,29492,3277,0.0788301090244426,0.14817361047203942,0.005564709659665823,0.009955724701285362,0.9490387439727783,0.19725711806677282
Amazon_employee_access,LightGBM,29492,3277,0.07916809295138898,0.15105227633286744,0.004709022119641304,0.009168263524770737,0.9493439197540283,0.19376224395819008
Amazon_employee_access,LinearModel,29492,3277,0.08366127736212478,0.15639679336202233,0.00374354375526309,0.009286516346037388,0.9465975165367126,0.23201488889753819
Amazon_employee_access,NeuralNetFastAI,29492,3277,0.0832866512747921,0.15506154569044692,0.005913879722356796,0.0072690509259700775,0.9465975165367126,0.21699831797741354
Amazon_employee_access,NeuralNetTorch,29492,3277,0.08548344445694318,0.1609710217107551,0.007585279643535614,0.011717833578586578,0.9459871649742126,0.17924806498922408
Amazon_employee_access,RandomForest,29492,3277,0.07505389719089885,0.14184772125728257,0.00672401487827301,0.01208613533526659,0.9530057907104492,0.1594073020387441
Amazon_employee_access,XGBoost,29492,3277,0.07517816611958611,0.1436139495916549,0.0035898350179195404,0.008838566020131111,0.951785147190094,0.1969855718780309
Australian,CatBoost,621,69,0.18003903366897606,0.30618007424288607,0.05740305408835411,0.0758594498038292,0.8840579986572266,0.00848550396040082
Australian,ExtraTrees,621,69,0.17234362965487598,0.2936779008982898,0.05553680658340454,0.10296981781721115,0.8550724387168884,0.007477429928258061
Australian,LightGBM,621,69,0.1848603075781,0.3290183382873173,0.07604792714118958,0.11886902153491974,0.8550724387168884,0.01023715385235846
Australian,LinearModel,621,69,0.1710525495763893,0.3004289009919795,0.06445684283971786,0.13254320621490479,0.9130434989929199,0.006942925974726677
Australian,NeuralNetFastAI,621,69,0.1535779130576006,0.2885474079293481,0.07261088490486145,0.10954949259757996,0.8985507488250732,0.008424324914813042
Australian,NeuralNetTorch,621,69,0.17304297720758036,0.29919966783477675,0.059393998235464096,0.06401123851537704,0.8840579986572266,0.007583904080092907
