dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
Diabetes130US,CatBoost,91589,10177,3,0.49271199249590203,0.8275554124299569,0.007768576964735985,0.6215977072715759,16.00551320100203
Diabetes130US,ExtraTrees,91589,10177,3,0.5055492125713809,0.8476665226154166,0.009137071669101715,0.6108872890472412,15.909968386171386
Diabetes130US,LightGBM,91589,10177,3,0.49712761044895165,0.8350160642578734,0.011036408133804798,0.6204186081886292,13.841400298057124
Diabetes130US,LinearModel,91589,10177,3,0.5255352512382819,0.8775268858708264,0.007526261731982231,0.5927090644836426,14.757206697948277
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5030099229106406,0.8440838607671796,0.016377421095967293,0.6189447045326233,17.269619883038104
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5110102757025237,0.8560305238215693,0.009786562994122505,0.6078411936759949,16.037890336010605
Diabetes130US,RandomForest,91589,10177,3,0.5047152479342127,0.846817508607406,0.00607318477705121,0.6078411936759949,14.010561868082732
Diabetes130US,XGBoost,91589,10177,3,0.4938735576568314,0.8280927936840957,0.008019295521080494,0.621892511844635,19.05413085897453
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3841133094210287,0.7326679834666512,0.027683233842253685,0.7176113128662109,4.75793462106958
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.3988388517416495,0.7598451694046902,0.025111716240644455,0.7054656147956848,4.406639094930142
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.3844124635210396,0.7337617933889248,0.04032176733016968,0.7145748734474182,4.431828347966075
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6229552958103856,1.2038894190570528,0.029711119830608368,0.5050607323646545,6.43032399402
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5047236790950426,0.9697280459733958,0.026205364614725113,0.6275303363800049,4.085835590027273
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.48973398384227873,0.9468009085421598,0.03960167244076729,0.647773265838623,3.158619159134105
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4119516148720032,0.7861260042276577,0.0336986742913723,0.6943320035934448,4.2208281450439245
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.3820567087619983,0.7328443645006072,0.03690877556800842,0.71659916639328,4.41380936303176
Indian_pines,CatBoost,8229,915,8,0.06611854195899138,0.12337091649984211,0.024998638778924942,0.9584699273109436,7.245589602040127
Indian_pines,ExtraTrees,8229,915,8,0.10588783295417997,0.1833738383499993,0.023584306240081787,0.9322404265403748,8.32384186796844
Indian_pines,LightGBM,8229,915,8,0.059084311569349506,0.11046805261210708,0.017061520367860794,0.9617486596107483,8.738297131145373
Indian_pines,LinearModel,8229,915,8,0.11056165269261778,0.19710373114693874,0.019738297909498215,0.9289617538452148,10.847348175011575
Indian_pines,NeuralNetFastAI,8229,915,8,0.05506410862860277,0.10185342646705792,0.009248246438801289,0.9650273323059082,8.088572646025568
Indian_pines,NeuralNetTorch,8229,915,8,0.045087446528867245,0.08730316009106127,0.016161920502781868,0.9726775884628296,6.75516784703359
Indian_pines,RandomForest,8229,915,8,0.10905727543373281,0.1884903948563947,0.027864769101142883,0.9333333373069763,9.005231198854744
Indian_pines,XGBoost,8229,915,8,0.06360673099011904,0.11783431418785593,0.023829743266105652,0.9617486596107483,7.974329985911027
LED-display-domain-7digit,CatBoost,450,50,10,0.41772754470407336,0.8948825907779303,0.1327744871377945,0.699999988079071,1.4945028859656304
LED-display-domain-7digit,ExtraTrees,450,50,10,0.4082717041397171,0.8788209269861056,0.15261992812156677,0.699999988079071,3.900887612020597
LED-display-domain-7digit,LightGBM,450,50,10,0.372224520518439,0.8082669156307958,0.18782298266887665,0.7200000286102295,1.6186489509418607
LED-display-domain-7digit,LinearModel,450,50,10,0.39616962643618636,0.8450798399735572,0.12581713497638702,0.7200000286102295,1.637296058004722
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.3706662821671789,0.7940361109819968,0.13048097491264343,0.7400000095367432,1.5679968090262264
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.38325240178141984,0.820174711736347,0.1189604178071022,0.7400000095367432,1.599500925047323
LED-display-domain-7digit,RandomForest,450,50,10,0.3903212503049597,0.8301934263361942,0.1646493524312973,0.699999988079071,3.949935488170013
LED-display-domain-7digit,XGBoost,450,50,10,0.38031610199430405,0.8151678590746019,0.10873138904571533,0.7200000286102295,1.5867748439777642
MiceProtein,CatBoost,972,108,8,0.009524530349618627,0.020876874371715218,0.01048092357814312,0.9907407164573669,5.097416036063805
MiceProtein,ExtraTrees,972,108,8,0.005165181164848466,0.010701688010466821,0.007672188803553581,1.0,6.295985149918124
MiceProtein,LightGBM,972,108,8,0.0015907438542338364,0.007463647898716478,0.006827728822827339,1.0,8.438178393989801
MiceProtein,LinearModel,972,108,8,0.0009486698669740594,0.009587394043204647,0.009285305626690388,1.0,5.453823823016137
MiceProtein,NeuralNetFastAI,972,108,8,0.0017605452049834546,0.010043884537671733,0.009423092007637024,1.0,8.776120252907276
MiceProtein,NeuralNetTorch,972,108,8,0.0010400215114927443,0.007860140705933797,0.007532558403909206,1.0,4.315835604909807
MiceProtein,RandomForest,972,108,8,0.06311042975973677,0.13599311652911683,0.019625835120677948,0.9537037014961243,3.5237532688770443
MiceProtein,XGBoost,972,108,8,0.0118629225920296,0.030151513340928866,0.024083267897367477,1.0,3.655462273163721
Traffic_violations,CatBoost,63306,7034,3,0.2682773224848583,0.4048642171062492,0.00936936866492033,0.7986920475959778,13.71807729988359
Traffic_violations,ExtraTrees,63306,7034,3,0.2774694619847167,0.41782909522273454,0.007319507654756308,0.7915837168693542,10.41608486394398
Traffic_violations,LightGBM,63306,7034,3,0.27199214388191395,0.41085107201353926,0.008483410812914371,0.7947114109992981,12.284210053971037
Traffic_violations,LinearModel,63306,7034,3,0.2768750156749118,0.41570513379556234,0.010083004832267761,0.7924367189407349,16.77586489613168
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.2757694874072482,0.4139247194301009,0.007153389044106007,0.7928632497787476,11.574181034928188
Traffic_violations,NeuralNetTorch,63306,7034,3,0.2889528103700754,0.43872984460316183,0.015343689359724522,0.7817742228507996,13.78227961808443
Traffic_violations,RandomForest,63306,7034,3,0.2735883288254714,0.4115394678113152,0.014218824915587902,0.7942848801612854,13.28202943294309
Traffic_violations,XGBoost,63306,7034,3,0.2731140329512882,0.40961855060534175,0.011086788959801197,0.7937162518501282,11.635186394909397
UMIST_Faces_Cropped,CatBoost,517,58,20,0.03458229636206946,0.10552281144046281,0.03139433637261391,0.9655172228813171,35.97425381094217
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.03643114223761092,0.08302741936107626,0.020780501887202263,0.9655172228813171,23.14395462302491
UMIST_Faces_Cropped,LightGBM,517,58,20,0.045573992744608306,0.12889418859457785,0.03215926140546799,0.9655172228813171,35.81196146993898
UMIST_Faces_Cropped,LinearModel,517,58,20,0.05141023928566366,0.13090999389630995,0.03791821375489235,0.9482758641242981,19.503159177023917
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.06070629664584638,0.1625802661257625,0.03275465965270996,0.9482758641242981,9.635516114067286
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.12145036124783877,0.2844575955660542,0.0635959655046463,0.931034505367279,4.869925695005804
UMIST_Faces_Cropped,RandomForest,517,58,20,0.02441445311698727,0.0660979255490374,0.022403882816433907,0.982758641242981,24.391804591054097
UMIST_Faces_Cropped,XGBoost,517,58,20,0.06616147269165798,0.19689325862353277,0.04668954014778137,0.9482758641242981,24.385227038059384
analcatdata_authorship,CatBoost,756,85,4,0.0603955054131138,0.11842287540683642,0.027638744562864304,0.9647058844566345,0.8137831760104746
analcatdata_authorship,ExtraTrees,756,85,4,0.036965451654388456,0.07450171850604018,0.023176690563559532,0.9764705896377563,2.1221728229429573
analcatdata_authorship,LightGBM,756,85,4,0.03569109808528206,0.10341800993813202,0.022335296496748924,0.9764705896377563,3.933635537046939
analcatdata_authorship,LinearModel,756,85,4,0.025990656120373847,0.0713121933709771,0.01640380546450615,0.9882352948188782,2.8513777060434222
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.08882616152286471,0.13050002137308456,0.04430713877081871,0.9176470637321472,1.742224878165871
analcatdata_authorship,NeuralNetTorch,756,85,4,0.05596727396320547,0.08523239513352732,0.05090036988258362,0.929411768913269,1.9956258221063763
analcatdata_authorship,RandomForest,756,85,4,0.04307454509472015,0.08682326413146614,0.03707006573677063,0.9647058844566345,0.8125194748863578
analcatdata_authorship,XGBoost,756,85,4,0.02929748202778931,0.05215933156679603,0.025057850405573845,0.9764705896377563,1.2363093618769199
analcatdata_dmft,CatBoost,717,80,6,0.8192633803181083,1.7477002405364126,0.02448936738073826,0.1875,0.5080226249992847
