dataset,model,cal_size,test_size,n_classes,Dirichlet_brier,Dirichlet_logloss,Dirichlet_ece-15,Dirichlet_accuracy,Dirichlet_time
Diabetes130US,CatBoost,91589,10177,3,0.4928389848629334,0.8282000815849071,0.009148978628218174,0.6231698989868164,12.656285675941035
Diabetes130US,ExtraTrees,91589,10177,3,0.5057786061561573,0.8480769328426915,0.006823897361755371,0.6102977395057678,1.353659856831655
Diabetes130US,LightGBM,91589,10177,3,0.4973193451589156,0.8357928213589959,0.013630921021103859,0.621892511844635,1.335537648992613
Diabetes130US,LinearModel,91589,10177,3,0.5263055176094276,0.8782727770962138,0.01936822384595871,0.5887786149978638,1.753537132870406
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5034261524678101,0.8448757504847424,0.019903073087334633,0.6191412210464478,1.2850892699789256
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5110168567918209,0.8563227754308719,0.010772817768156528,0.6086273193359375,1.3474347540177405
Diabetes130US,RandomForest,91589,10177,3,0.5046863226485352,0.8465885992016974,0.007162509951740503,0.607448160648346,1.3624926670454443
Diabetes130US,XGBoost,91589,10177,3,0.4942372238660881,0.8292087954375948,0.012740330770611763,0.6220890283584595,1.3209782871417701
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3862558405269013,0.7399418176361588,0.036731671541929245,0.71659916639328,11.959228555904701
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.41099232110624273,0.7878737713990264,0.05027090385556221,0.7024291753768921,0.9466351170558482
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.3836891813501555,0.7349018710595361,0.03559073433279991,0.7125505805015564,0.9360114489682019
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6463385499803699,1.2564951137435392,0.047670017927885056,0.4635627567768097,0.7756378820631653
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5089939687182797,0.9759689592271549,0.05994958430528641,0.6325910687446594,0.7721287859603763
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.49347642661161506,0.9501831129790076,0.049090467393398285,0.637651801109314,0.7696018619462848
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.42308607362591444,0.8206010405002436,0.04992547258734703,0.6842105388641357,0.9515871859621257
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.38785455183456685,0.743414291195914,0.038838520646095276,0.7135627269744873,0.9414459858089685
Indian_pines,CatBoost,8229,915,8,0.06764676133582069,0.12356608973113486,0.025562452152371407,0.9584699273109436,14.833617893978953
Indian_pines,ExtraTrees,8229,915,8,0.10596717748511798,0.1813364825282615,0.029294926673173904,0.9333333373069763,3.8261302190367132
Indian_pines,LightGBM,8229,915,8,0.057779964048244495,0.10702935039479657,0.023399468511343002,0.9650273323059082,4.110251544043422
Indian_pines,LinearModel,8229,915,8,0.11104579942584346,0.20587794827613495,0.019824158400297165,0.9300546646118164,4.003693603910506
Indian_pines,NeuralNetFastAI,8229,915,8,0.053167905840786255,0.09792463225928713,0.022815290838479996,0.9672130942344666,2.8557639122009277
Indian_pines,NeuralNetTorch,8229,915,8,0.044709146305020694,0.08389718164797329,0.016331223770976067,0.9693989157676697,3.4422648698091507
Indian_pines,RandomForest,8229,915,8,0.1128618261615821,0.19370481898894448,0.027104273438453674,0.9278688430786133,3.7795036968309432
Indian_pines,XGBoost,8229,915,8,0.06466307197925109,0.1178631108742884,0.022896749898791313,0.9617486596107483,3.458641943987459
LED-display-domain-7digit,CatBoost,450,50,10,0.40417929776457484,0.8175710590305053,0.17656347155570984,0.7200000286102295,11.319901460083202
LED-display-domain-7digit,ExtraTrees,450,50,10,0.41741214676865995,0.8808968407401582,0.17417819797992706,0.699999988079071,0.9384102770127356
