dataset,model,cal_size,test_size,n_classes,ETS_brier,ETS_logloss,ETS_ece-15,ETS_accuracy,ETS_time
Diabetes130US,CatBoost,91589,10177,3,0.49283522053430917,0.8282380021961433,0.007031067740172148,0.6229733824729919,0.22503654193133116
Diabetes130US,ExtraTrees,91589,10177,3,0.5062647586307113,0.8490381553338616,0.010627646930515766,0.6107890605926514,0.3397755930200219
Diabetes130US,LightGBM,91589,10177,3,0.4971609021747579,0.8355816663931483,0.010769011452794075,0.6208116412162781,0.3764730610419065
Diabetes130US,LinearModel,91589,10177,3,0.5266704968240845,0.879302925414186,0.009955302812159061,0.5932003259658813,0.6019987619947642
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5031093025785718,0.8443674463909281,0.016654320061206818,0.6176673173904419,0.26307829609140754
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5107625800782232,0.8556555433150016,0.008499184623360634,0.6066620945930481,0.5687922590877861
Diabetes130US,RandomForest,91589,10177,3,0.5048730042709838,0.8469351743578126,0.006525144446641207,0.607742965221405,0.23609825503081083
Diabetes130US,XGBoost,91589,10177,3,0.4942706667475451,0.8293700070742436,0.011542106047272682,0.6237594485282898,0.2033297480084002
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3923612770543458,0.7515160410073791,0.032331496477127075,0.7105262875556946,0.0558824148029089
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.4245819255008074,0.8114605454156142,0.03335282951593399,0.6953441500663757,0.04905175999738276
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.3976045834493122,0.7666001970746484,0.028554804623126984,0.7125505805015564,0.0542259740177542
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6512186979092629,1.267662235286889,0.03582717850804329,0.4635627567768097,0.07821259601041675
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.508196455590513,0.9784874763905346,0.031005512923002243,0.6285424828529358,0.05791573296301067
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.4917211847508516,0.9472042590490963,0.045279406011104584,0.6346153616905212,0.0620110840536654
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4339503001688244,0.8227200573977909,0.04919157549738884,0.6751012206077576,0.0512143149971962
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.4007179599762017,0.7709688892478714,0.047709669917821884,0.7115384340286255,0.05820610583759844
Indian_pines,CatBoost,8229,915,8,0.07306356370204518,0.13201542913812847,0.026128003373742104,0.9508196711540222,0.029905489878728986
Indian_pines,ExtraTrees,8229,915,8,0.10722401595767607,0.18795071489346066,0.02149423584342003,0.9344262480735779,0.07272602897137403
Indian_pines,LightGBM,8229,915,8,0.05752373488800977,0.11648567132785816,0.019526751711964607,0.9661202430725098,0.06928254407830536
Indian_pines,LinearModel,8229,915,8,0.11702079096602352,0.21957271523262,0.021474549546837807,0.9256830811500549,0.06558598391711712
Indian_pines,NeuralNetFastAI,8229,915,8,0.0540341255618062,0.0994522288038864,0.013984781689941883,0.9672130942344666,0.02544308011420071
Indian_pines,NeuralNetTorch,8229,915,8,0.04659632035750165,0.08773647128370482,0.016339922323822975,0.9683060050010681,0.04036885988898575
Indian_pines,RandomForest,8229,915,8,0.11264847643626448,0.1955157440084487,0.027508415281772614,0.9355190992355347,0.07421393506228924
Indian_pines,XGBoost,8229,915,8,0.06796378731084982,0.12496611468175772,0.029464952647686005,0.9584699273109436,0.029965027002617717
LED-display-domain-7digit,CatBoost,450,50,10,0.3978071691011904,0.8238944963766042,0.13457125425338745,0.7200000286102295,0.004788598045706749
LED-display-domain-7digit,ExtraTrees,450,50,10,0.36191533739612197,0.7455052917629368,0.13294938206672668,0.800000011920929,0.008017637068405747
LED-display-domain-7digit,LightGBM,450,50,10,0.34515200956363656,0.7094096978104399,0.16235092282295227,0.7799999713897705,0.005156881175935268
LED-display-domain-7digit,LinearModel,450,50,10,0.36200179676544425,0.7290087267261702,0.1725984662771225,0.7200000286102295,0.004405120853334665
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.36874489170447755,0.7510652888985507,0.11230107396841049,0.7200000286102295,0.005026311846449971
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.3578099374738676,0.7027966746352717,0.19775590300559998,0.7200000286102295,0.005007697967812419
LED-display-domain-7digit,RandomForest,450,50,10,0.37661242688046753,0.7688472662871949,0.12900343537330627,0.7200000286102295,0.007869600085541606
LED-display-domain-7digit,XGBoost,450,50,10,0.3774401221597195,0.7852170987216958,0.11322390288114548,0.7200000286102295,0.004673174815252423
MiceProtein,CatBoost,972,108,8,0.0028092400240867666,0.007725855019043295,0.0065887547098100185,1.0,0.0070290230214595795
MiceProtein,ExtraTrees,972,108,8,0.003050420951657396,0.0060643477552926595,0.004899219609797001,1.0,0.010365764144808054
MiceProtein,LightGBM,972,108,8,1.3533692722144821e-17,2.503117864307011e-10,1.1920928955078125e-07,1.0,0.014395524049177766
MiceProtein,LinearModel,972,108,8,0.00022547653153130815,0.003336315566143182,0.0032747904770076275,1.0,0.017508585937321186
MiceProtein,NeuralNetFastAI,972,108,8,3.737324286832623e-34,2.05596856412066e-18,1.1920928955078125e-07,1.0,0.004663463914766908
MiceProtein,NeuralNetTorch,972,108,8,8.01133118458228e-34,2.05596856412066e-18,1.1920928955078125e-07,1.0,0.0046178658958524466
MiceProtein,RandomForest,972,108,8,0.07893233436447256,0.2003985522315189,0.03688640892505646,0.9444444179534912,0.0161908611189574
MiceProtein,XGBoost,972,108,8,0.021873471244523275,0.036820098924198956,0.025832386687397957,0.9722222089767456,0.018525151070207357
Traffic_violations,CatBoost,63306,7034,3,0.26802057143500146,0.4034859127546631,0.008398541249334812,0.7998294234275818,0.12855564709752798
Traffic_violations,ExtraTrees,63306,7034,3,0.2776754409441159,0.4196075488634037,0.0081439558416605,0.790446400642395,0.14119606697931886
Traffic_violations,LightGBM,63306,7034,3,0.27193328953728096,0.4106256783963127,0.008940975181758404,0.7959908843040466,0.11578877083957195
Traffic_violations,LinearModel,63306,7034,3,0.2765674083815883,0.41807695250511534,0.008736340329051018,0.7908729314804077,0.1559232180006802
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.27555199309813333,0.413239079602455,0.007878021337091923,0.7932897210121155,0.1582512480672449
Traffic_violations,NeuralNetTorch,63306,7034,3,0.2889499121574829,0.4382833448420568,0.01058912556618452,0.7817742228507996,0.22109894081950188
Traffic_violations,RandomForest,63306,7034,3,0.27352128370612294,0.4114238939460389,0.014183340594172478,0.7942848801612854,0.2021999629214406
Traffic_violations,XGBoost,63306,7034,3,0.2729032825415901,0.40964381577307835,0.00782822072505951,0.7931475639343262,0.1926909841131419
UMIST_Faces_Cropped,CatBoost,517,58,20,0.0033687723060363954,0.010219122372162177,0.008689952082931995,1.0,0.006625798996537924
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.0014529213217858333,0.007855104509477299,0.007358346600085497,1.0,0.01963867200538516
UMIST_Faces_Cropped,LightGBM,517,58,20,0.05348214990785856,0.17716554786777955,0.026462214067578316,0.9655172228813171,0.01686740992590785
UMIST_Faces_Cropped,LinearModel,517,58,20,0.04343429496284128,0.1201784923217543,0.02608194388449192,0.9655172228813171,0.005964365089312196
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.03301404245603926,0.6744046044928776,0.01699865609407425,0.982758641242981,0.012791136978194118
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.05445085972851474,0.3247736651285734,0.054234132170677185,0.982758641242981,0.0037530779372900724
UMIST_Faces_Cropped,RandomForest,517,58,20,0.01245743272481553,0.024400465537572254,0.011285437270998955,0.982758641242981,0.012405815999954939
UMIST_Faces_Cropped,XGBoost,517,58,20,0.08988670197319006,0.24757075319687366,0.06234675273299217,0.9137930870056152,0.015802189940586686
analcatdata_authorship,CatBoost,756,85,4,0.03895371156543641,0.05726300476570666,0.027255859225988388,0.9764705896377563,0.00793162896297872
analcatdata_authorship,ExtraTrees,756,85,4,0.03233754683168788,0.0607271620816287,0.027048204094171524,0.9764705896377563,0.013840617844834924
analcatdata_authorship,LightGBM,756,85,4,0.023529411764705986,1.0274887990464652,0.011764585971832275,0.9882352948188782,0.003846340114250779
analcatdata_authorship,LinearModel,756,85,4,0.023529411764705882,0.8947658788680978,0.011764585971832275,0.9882352948188782,0.0037031741812825203
analcatdata_authorship,NeuralNetFastAI,756,85,4,0.020258969169782495,0.03779760641215715,0.0220223106443882,0.9882352948188782,0.0032765499781817198
analcatdata_authorship,NeuralNetTorch,756,85,4,0.025340730386609073,0.04721953692635115,0.02260289341211319,0.9882352948188782,0.003296871902421117
analcatdata_authorship,RandomForest,756,85,4,0.04293157701405401,0.07634345671742399,0.03848593309521675,0.9529411792755127,0.009764217073097825
analcatdata_authorship,XGBoost,756,85,4,0.011492721582769361,0.026156121914314708,0.021406490355730057,0.9882352948188782,0.004705530125647783
analcatdata_dmft,CatBoost,717,80,6,0.8131760736883858,1.727704126956678,0.044101156294345856,0.23749999701976776,0.006003916030749679
analcatdata_dmft,ExtraTrees,717,80,6,0.8148769708958408,1.7346458603418586,0.016612013801932335,0.23749999701976776,0.011376047041267157
analcatdata_dmft,LightGBM,717,80,6,0.8106110981084061,1.720994372685972,0.0218976978212595,0.20000000298023224,0.006354704964905977
analcatdata_dmft,LinearModel,717,80,6,0.8135720694819722,1.7319348496747557,0.02746391110122204,0.23749999701976776,0.008697903016582131
analcatdata_dmft,NeuralNetFastAI,717,80,6,0.8121502382708881,1.7250102456074594,0.07255478948354721,0.17499999701976776,0.00946641992777586
analcatdata_dmft,NeuralNetTorch,717,80,6,0.8098178212876231,1.7207405978819252,0.054447613656520844,0.25,0.0070646710228174925
analcatdata_dmft,RandomForest,717,80,6,0.8155436747504113,1.7354476436150712,0.010466441512107849,0.22499999403953552,0.007138189161196351
analcatdata_dmft,XGBoost,717,80,6,0.8129118370839177,1.730745432387001,0.05710262432694435,0.2750000059604645,0.006195732858031988
artificial-characters,CatBoost,9196,1022,10,0.07279561116472907,0.1706408472977101,0.04980776458978653,0.9598825573921204,0.02672596904449165
artificial-characters,ExtraTrees,9196,1022,10,0.07817569489117006,0.20277401402399609,0.015115879476070404,0.9559686779975891,0.07079664804041386
artificial-characters,LightGBM,9196,1022,10,0.061022833208635614,0.14623396368542013,0.050204429775476456,0.9608610272407532,0.031050866935402155
artificial-characters,LinearModel,9196,1022,10,0.7541379919310727,1.700708359284406,0.05070226266980171,0.3307240605354309,0.06779992999508977
artificial-characters,NeuralNetFastAI,9196,1022,10,0.35822746841054237,0.5998232858991103,0.03203589469194412,0.7054794430732727,0.04021538398228586
artificial-characters,NeuralNetTorch,9196,1022,10,0.3473471158840074,0.5891571544395638,0.04306543990969658,0.7172211408615112,0.040240611881017685
artificial-characters,RandomForest,9196,1022,10,0.07601580077812417,0.20149691003189885,0.01907520927488804,0.9559686779975891,0.07046088413335383
artificial-characters,XGBoost,9196,1022,10,0.06848099661940404,0.1612028571861145,0.04704701527953148,0.9647749662399292,0.03241323004476726
autoUniv-au6-750,CatBoost,675,75,8,0.847591964573754,1.991919424755754,0.1068667471408844,0.2133333384990692,0.011154917068779469
autoUniv-au6-750,ExtraTrees,675,75,8,0.845086203835898,1.984650361461155,0.06897205114364624,0.23999999463558197,0.01163497706875205
autoUniv-au6-750,LightGBM,675,75,8,0.8186332413031314,1.9159829638860901,0.09329117834568024,0.36000001430511475,0.012984500033780932
autoUniv-au6-750,LinearModel,675,75,8,0.8674584247043325,2.055448030796086,0.04754718765616417,0.1733333319425583,0.022217727033421397
autoUniv-au6-750,NeuralNetFastAI,675,75,8,0.8554708928007676,2.007067758599014,0.08104145526885986,0.2266666740179062,0.017581988824531436
