dataset,model,cal_size,test_size,n_classes,Isotonic_brier,Isotonic_logloss,Isotonic_ece-15,Isotonic_accuracy,Isotonic_time
Diabetes130US,CatBoost,91589,10177,3,0.4928484841699016,0.8356694149249143,0.0035051710437983274,0.6214011907577515,0.12192188110202551
Diabetes130US,ExtraTrees,91589,10177,3,0.5055986308926219,0.8477630049051669,0.007168392650783062,0.6105924844741821,0.11927097314037383
Diabetes130US,LightGBM,91589,10177,3,0.4971058625622234,0.8354148944510611,0.010165631771087646,0.6208116412162781,0.11808129283599555
Diabetes130US,LinearModel,91589,10177,3,0.5261695464449473,0.8785865563956493,0.011671960353851318,0.5933969020843506,0.1182934429962188
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5032325855863509,0.8444108427109068,0.013948636129498482,0.615898609161377,0.11851634900085628
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5110341457942256,0.8560488312459587,0.008476648479700089,0.607448160648346,0.11655176198109984
Diabetes130US,RandomForest,91589,10177,3,0.5047643807081635,0.8468696205725396,0.006740224082022905,0.6080377101898193,0.11935957008972764
Diabetes130US,XGBoost,91589,10177,3,0.4939464888962448,0.8285141936509095,0.011614792980253696,0.6229733824729919,0.11967412498779595
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.38634627997794424,0.8219122712837671,0.02957688644528389,0.7176113128662109,0.02326724398881197
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.4139988497010117,0.8734946050420788,0.0464494526386261,0.6993927359580994,0.022399508859962225
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.39104074498781394,0.9152849502024953,0.028925208374857903,0.7125505805015564,0.022610815009102225
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6457837106910427,1.2470477164058924,0.034548524767160416,0.45748987793922424,0.0305972199421376
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5035809864464742,0.9632224453941479,0.03147762641310692,0.6336032152175903,0.023358592996373773
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.4892914914478521,0.9444614471367436,0.05120887607336044,0.6417003870010376,0.022876228904351592
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.4252763105433555,0.8882715386859079,0.0450461246073246,0.6781376600265503,0.022664671065285802
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.3915804145223331,0.8317954730798222,0.039899785071611404,0.71659916639328,0.022782990941777825
Indian_pines,CatBoost,8229,915,8,0.07236653600305176,0.13156793092723215,0.022685807198286057,0.9562841653823853,0.02792980195954442
Indian_pines,ExtraTrees,8229,915,8,0.10557022205549017,0.27285037324518097,0.028496967628598213,0.9344262480735779,0.025509611004963517
Indian_pines,LightGBM,8229,915,8,0.05739407441341015,0.1077538716513699,0.018550630658864975,0.9661202430725098,0.025411050068214536
Indian_pines,LinearModel,8229,915,8,0.11755169985504663,0.21641092222704458,0.017964014783501625,0.9245901703834534,0.02547624707221985
Indian_pines,NeuralNetFastAI,8229,915,8,0.05406100928955102,0.09878137657263684,0.011595170013606548,0.9661202430725098,0.028714153915643692
Indian_pines,NeuralNetTorch,8229,915,8,0.04624395348239324,0.08668090617250122,0.015639128163456917,0.9661202430725098,0.026230175979435444
Indian_pines,RandomForest,8229,915,8,0.10945319530407396,0.27790981032811435,0.0251734871417284,0.9344262480735779,0.025248737074434757
