dataset,model,cal_size,test_size,n_classes,VS_brier,VS_logloss,VS_ece-15,VS_accuracy,VS_time
Diabetes130US,CatBoost,91589,10177,3,0.49271368980407715,0.8279514312744141,0.006319338455796242,0.6227768659591675,0.24617583490908146
Diabetes130US,ExtraTrees,91589,10177,3,0.5056663155555725,0.8477649688720703,0.008717913180589676,0.6097081899642944,0.20050805201753974
Diabetes130US,LightGBM,91589,10177,3,0.49708107113838196,0.8353180885314941,0.010099214501678944,0.6211064457893372,0.29981613508425653
Diabetes130US,LinearModel,91589,10177,3,0.5266456604003906,0.8786400556564331,0.01620646007359028,0.5880907773971558,0.4031669569667429
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5030592679977417,0.8442656993865967,0.015573844313621521,0.6178638339042664,0.24552224716171622
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5108047723770142,0.8557479977607727,0.008487841114401817,0.6083325147628784,0.21015605586580932
Diabetes130US,RandomForest,91589,10177,3,0.5045161247253418,0.8462416529655457,0.005186326801776886,0.6078411936759949,0.2530170539394021
Diabetes130US,XGBoost,91589,10177,3,0.49408411979675293,0.8289515972137451,0.010941779240965843,0.6220890283584595,0.20532375993207097
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3869221806526184,0.7414554953575134,0.04451679438352585,0.7115384340286255,0.06495780101977289
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.40911510586738586,0.7862463593482971,0.04332384467124939,0.6933198571205139,0.08934974391013384
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.3863924741744995,0.7409884333610535,0.03266303986310959,0.7145748734474182,0.06161447521299124
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6528816819190979,1.267536997795105,0.03946813941001892,0.4665991961956024,0.0765927811153233
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.508228063583374,0.9738256931304932,0.045673668384552,0.6295546293258667,0.049834175035357475
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.49123719334602356,0.9457577466964722,0.04596433416008949,0.637651801109314,0.04172747582197189
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.42347195744514465,0.8245998024940491,0.04797576367855072,0.6801619529724121,0.10479162097908556
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.38956546783447266,0.7471883893013,0.048681728541851044,0.7135627269744873,0.08188343490473926
Indian_pines,CatBoost,8229,915,8,0.07114820927381516,0.12988851964473724,0.02939107082784176,0.9540983438491821,0.24388192989863455
Indian_pines,ExtraTrees,8229,915,8,0.10587313026189804,0.18537788093090057,0.02912796661257744,0.9344262480735779,0.357134958030656
Indian_pines,LightGBM,8229,915,8,0.058240216225385666,0.10954996943473816,0.020616479218006134,0.9639344215393066,0.2662597270682454
Indian_pines,LinearModel,8229,915,8,0.11777064949274063,0.218256413936615,0.0216207355260849,0.9256830811500549,0.17318761302158237
Indian_pines,NeuralNetFastAI,8229,915,8,0.05313822254538536,0.09788237512111664,0.012872636318206787,0.9672130942344666,0.30210621492005885
