dataset,model,cal_size,test_size,n_classes,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
Diabetes130US,CatBoost,91589,10177,3,0.4928512300732014,0.8277742908596347,0.004541325848549604,0.6214011907577515,3.1447208169847727
Diabetes130US,ExtraTrees,91589,10177,3,0.5056011174359114,0.8478375119308874,0.0064556533470749855,0.6105924844741821,2.1060108919627964
Diabetes130US,LightGBM,91589,10177,3,0.497149751877605,0.8354757730977957,0.00912417657673359,0.6207133531570435,2.34750348306261
Diabetes130US,LinearModel,91589,10177,3,0.5261842820696752,0.8785956852676151,0.012884426862001419,0.593298614025116,1.6086636381223798
Diabetes130US,NeuralNetFastAI,91589,10177,3,0.5032559632317201,0.8445498230302548,0.013872427865862846,0.6158003211021423,1.917945328168571
Diabetes130US,NeuralNetTorch,91589,10177,3,0.5110427188329094,0.8561049063957071,0.00856482982635498,0.607448160648346,1.6619116871152073
Diabetes130US,RandomForest,91589,10177,3,0.5047406464363297,0.8468338987080765,0.005477398168295622,0.6080377101898193,1.9222450400702655
Diabetes130US,XGBoost,91589,10177,3,0.4939705911945479,0.8286450622453384,0.012249884195625782,0.6229733824729919,3.0424752440303564
GesturePhaseSegmentationProcessed,CatBoost,8885,988,5,0.3864555948549981,0.7401879545714779,0.019708242267370224,0.7176113128662109,0.4586277499329299
GesturePhaseSegmentationProcessed,ExtraTrees,8885,988,5,0.41470675893866815,0.7926214825555566,0.05581575632095337,0.6993927359580994,0.12976624490693212
GesturePhaseSegmentationProcessed,LightGBM,8885,988,5,0.39127607923089686,0.7527344673999763,0.0399453267455101,0.7115384340286255,0.5538460907991976
GesturePhaseSegmentationProcessed,LinearModel,8885,988,5,0.6454213701639232,1.2471979115549954,0.032475341111421585,0.45951417088508606,0.29222477809526026
GesturePhaseSegmentationProcessed,NeuralNetFastAI,8885,988,5,0.5040004672039423,0.9653116983443222,0.03484698385000229,0.6325910687446594,0.330755400005728
GesturePhaseSegmentationProcessed,NeuralNetTorch,8885,988,5,0.4898912011593447,0.9462764053677895,0.053095556795597076,0.6427125334739685,0.3940033311955631
GesturePhaseSegmentationProcessed,RandomForest,8885,988,5,0.42552459523885805,0.8069226907140917,0.04199875146150589,0.6791498064994812,0.12714358209632337
GesturePhaseSegmentationProcessed,XGBoost,8885,988,5,0.39233810955563886,0.7535091177648381,0.04894468933343887,0.71659916639328,0.533502483041957
Indian_pines,CatBoost,8229,915,8,0.07402366358883956,0.13946839491520358,0.0317167192697525,0.9551912546157837,2.0007460261695087
Indian_pines,ExtraTrees,8229,915,8,0.10679553161547202,0.18967859816767138,0.03251529857516289,0.9355190992355347,0.14654587302356958
Indian_pines,LightGBM,8229,915,8,0.059352411087635865,0.11717627118137285,0.02998513914644718,0.9661202430725098,0.3608374218456447
Indian_pines,LinearModel,8229,915,8,0.11837544800989652,0.2226984156787323,0.03464047610759735,0.9256830811500549,0.22385228099301457
Indian_pines,NeuralNetFastAI,8229,915,8,0.05518370417511946,0.10546508531015601,0.016795651987195015,0.9650273323059082,2.1507939589209855
Indian_pines,NeuralNetTorch,8229,915,8,0.047908152565042245,0.09773095254896795,0.027417276054620743,0.9672130942344666,0.8017141229938716
Indian_pines,RandomForest,8229,915,8,0.11110652122340552,0.19589706550300048,0.03542536497116089,0.9344262480735779,0.13751134788617492
Indian_pines,XGBoost,8229,915,8,0.06939979393969448,0.13010105870069155,0.0304422490298748,0.9584699273109436,2.4823010549880564
LED-display-domain-7digit,CatBoost,450,50,10,0.4123099515930802,0.8799623755865054,0.1686096489429474,0.7599999904632568,0.05595709406770766
LED-display-domain-7digit,ExtraTrees,450,50,10,0.3816819065869454,0.8236070200514283,0.16896647214889526,0.8199999928474426,0.08393236412666738
LED-display-domain-7digit,LightGBM,450,50,10,0.35533290327454453,0.7653331786634968,0.18001461029052734,0.800000011920929,0.05852394597604871
LED-display-domain-7digit,LinearModel,450,50,10,0.369303606442153,0.7779795012263034,0.14939649403095245,0.7400000095367432,0.05676149879582226
LED-display-domain-7digit,NeuralNetFastAI,450,50,10,0.37891977067923494,0.8148854420166489,0.16773124039173126,0.7599999904632568,0.059914372861385345
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.3679437383954722,0.7797408236547483,0.18013161420822144,0.7799999713897705,0.060049327090382576
LED-display-domain-7digit,RandomForest,450,50,10,0.3923672454438163,0.8380895132434014,0.14794883131980896,0.7599999904632568,0.08841847302392125
LED-display-domain-7digit,XGBoost,450,50,10,0.3753117866898153,0.8091966797889105,0.1878514289855957,0.800000011920929,0.058059426955878735
MiceProtein,CatBoost,972,108,8,0.021477361631854187,0.07581113651927807,0.05860046297311783,0.9907407164573669,0.24543489795178175
MiceProtein,ExtraTrees,972,108,8,0.011570640662592623,0.05411285832450586,0.04526936262845993,0.9907407164573669,0.12514617410488427
MiceProtein,LightGBM,972,108,8,0.025750124666847465,0.08951322490363005,0.07402675598859787,1.0,0.16856343508698046
MiceProtein,LinearModel,972,108,8,0.01899762467432236,0.08105425960093678,0.07353554666042328,1.0,0.12754052714444697
MiceProtein,NeuralNetFastAI,972,108,8,0.037859784129580694,0.12151779158549109,0.10011634975671768,0.9907407164573669,0.08324102498590946
MiceProtein,NeuralNetTorch,972,108,8,0.03659241317092589,0.11362787532013273,0.09769245982170105,1.0,0.01344665396027267
MiceProtein,RandomForest,972,108,8,0.06887266687843957,0.1732249373653349,0.057729776948690414,0.9444444179534912,0.0808085510507226
MiceProtein,XGBoost,972,108,8,0.03400404595597553,0.09462947328181406,0.061975426971912384,0.9814814925193787,0.2662292418535799
Traffic_violations,CatBoost,63306,7034,3,0.2684195174693321,0.4040157860542677,0.010714727453887463,0.7991185784339905,14.624032407999039
Traffic_violations,ExtraTrees,63306,7034,3,0.2777269484013346,0.4184596912070081,0.007697947323322296,0.7918680906295776,2.0759095249231905
Traffic_violations,LightGBM,63306,7034,3,0.2722080165718463,0.4112322259544464,0.008624408394098282,0.795137882232666,12.765845629852265
Traffic_violations,LinearModel,63306,7034,3,0.27694938439479083,0.4161633735496692,0.010199501179158688,0.7894512414932251,13.17732374696061
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.27570912468021175,0.4132655198024651,0.010528753511607647,0.7925788760185242,11.261084286961704
Traffic_violations,NeuralNetTorch,63306,7034,3,0.28891066814763094,0.4383622897412541,0.011054770089685917,0.7822007536888123,10.919463695958257
Traffic_violations,RandomForest,63306,7034,3,0.2737454639941429,0.41135868731018854,0.012826668098568916,0.7948535680770874,1.97956234193407
